case_id,query,期望文档,期望等级,期望卡片ID,检索_Top1文档,检索_Top1匹配度,检索_Top5期望项最高排名,检索_Top5同源条数,检索_命中@1,检索_命中@5,答案_引用等级是否正确,答案_引用ID是否命中期望,答案_Top1可回答性,备注
RETR-036,如何判断特征工程等级1，需要哪些证据？,SKILL-020_特征工程.md,L1,KC-SKILL-020-L1,SKILL-020_特征工程,0.83,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,1,1,1,1,1,2,3,1,1,1)；Top1=0.8931；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[特征工程等级1]n=5top=0.893"
RETR-037,如何判断RAG应用等级3，需要哪些证据？,SKILL-027_RAG应用.md,L3,KC-SKILL-027-L3,SKILL-027_RAG应用,0.80,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,3,3,3,1,1,3,4,5,3,3,3)；Top1=0.8731；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[RAG应用]n=5top=0.873"
RETR-038,如何判断API设计等级5，需要哪些证据？,SKILL-034_API设计.md,L5,KC-SKILL-034-L5,SKILL-034_API设计,0.81,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,3,5,5,5)；Top1=0.7961；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[API设计等级5 判断标准 证据]n=5top=0.796 ; 岗位技能要求库[API设计等级5技能要求]n=5top=0.585"
RETR-039,如何判断系统思维等级2，需要哪些证据？,SKILL-042_系统思维.md,L2,KC-SKILL-042-L2,SKILL-042_系统思维,0.83,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,3,4,5,2,2)；Top1=0.8216；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[系统思维等级2判断标准证据]n=5top=0.822"
RETR-040,如何判断表达与汇报等级4，需要哪些证据？,SKILL-049_表达与汇报.md,L4,KC-SKILL-049-L4,SKILL-049_表达与汇报,0.85,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4)；Top1=0.905；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[表达与汇报等级4]n=5top=0.905"
RETR-041,如何判断项目规划等级1，需要哪些证据？,SKILL-057_项目规划.md,L1,KC-SKILL-057-L1,SKILL-057_项目规划,0.79,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1)；Top1=0.8856；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[项目规划等级1]n=5top=0.886"
RETR-066,如何判断数据结构与算法等级1，需要哪些证据？,SKILL-002_数据结构与算法.md,L1,KC-SKILL-002-L1,SKILL-002_数据结构与算法,0.87,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1)；Top1=0.9165；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[数据结构与算法等级1]n=5top=0.916"
RETR-067,如何判断SQL等级3，需要哪些证据？,SKILL-009_SQL.md,L3,KC-SKILL-009-L3,SKILL-009_SQL,0.79,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,3,3,3)；Top1=0.8656；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[SQL技能等级3]n=5top=0.866"
RETR-068,如何判断实验与A/B测试等级5，需要哪些证据？,SKILL-016_实验与A/B测试.md,L5,KC-SKILL-016-L5,SKILL-016_实验与AB测试,0.88,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5)；Top1=0.8977；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[实验与A/B测试 等级5 证据]n=5top=0.898 ; 技能知识库[实验与A/B测试 技能定义 评分等级]n=5top=0.905"
RETR-069,如何判断模型调优等级2，需要哪些证据？,SKILL-024_模型调优.md,L2,KC-SKILL-024-L2,SKILL-024_模型调优,0.85,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1)；Top1=0.8617；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[模型调优等级2]n=5top=0.862 ; 岗位技能要求库[模型调优等级2证据]n=5top=0.534"
RETR-070,如何判断模型微调等级4，需要哪些证据？,SKILL-031_模型微调.md,L4,KC-SKILL-031-L4,SKILL-031_模型微调,0.82,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4)；Top1=0.8852；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[模型微调等级4]n=5top=0.885"
RETR-071,如何判断监控与可观测性等级1，需要哪些证据？,SKILL-039_监控与可观测性.md,L1,KC-SKILL-039-L1,SKILL-039_监控与可观测性,0.90,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1)；Top1=0.9203；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[监控与可观测性]n=5top=0.920"
RETR-072,如何判断业务理解等级3，需要哪些证据？,SKILL-046_业务理解.md,L3,KC-SKILL-046-L3,SKILL-046_业务理解,0.86,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3)；Top1=0.8063；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[业务理解等级3判断标准证据]n=5top=0.806"
RETR-073,如何判断时间管理等级5，需要哪些证据？,SKILL-053_时间管理.md,L5,KC-SKILL-053-L5,SKILL-053_时间管理,0.85,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5)；Top1=0.9143；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[时间管理等级5]n=5top=0.914"
RETR-099,如何判断Linux使用等级2，需要哪些证据？,SKILL-006_Linux使用.md,L2,KC-SKILL-006-L2,SKILL-006_Linux使用,0.80,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,2,2,2,1,2,3,2,3,2,3,3)；Top1=0.8509；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[Linux使用等级2 证据]n=5top=0.851 ; 技能知识库[Linux技能等级评定标准]n=5top=0.828"
RETR-100,如何判断数据可视化等级4，需要哪些证据？,SKILL-013_数据可视化.md,L4,KC-SKILL-013-L4,SKILL-013_数据可视化,0.87,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4)；Top1=0.9055；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[数据可视化等级4]n=5top=0.906"
RETR-101,如何判断模型评估等级1，需要哪些证据？,SKILL-021_模型评估.md,L1,KC-SKILL-021-L1,SKILL-025_大模型基础,0.76,2,1,否,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1)；Top1=0.8295；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[模型评估等级1]n=5top=0.830"
RETR-102,如何判断向量数据库等级3，需要哪些证据？,SKILL-028_向量数据库.md,L3,KC-SKILL-028-L3,SKILL-028_向量数据库,0.90,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3)；Top1=0.9228；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[向量数据库等级3]n=5top=0.923"
RETR-103,如何判断后端服务开发等级5，需要哪些证据？,SKILL-035_后端服务开发.md,L5,KC-SKILL-035-L5,SKILL-035_后端服务开发,0.88,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5,5)；Top1=0.8876；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[后端服务开发等级5判断标准]n=5top=0.888"
RETR-104,如何判断需求分析等级2，需要哪些证据？,SKILL-043_需求分析.md,L2,KC-SKILL-043-L2,SKILL-043_需求分析,0.85,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1)；Top1=0.9125；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[需求分析等级2]n=5top=0.912"
RETR-105,如何判断跨岗位沟通等级4，需要哪些证据？,SKILL-050_跨岗位沟通.md,L4,KC-SKILL-050-L4,SKILL-050_跨岗位沟通,0.87,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,3,4,4,4,4,3,4,5,3,4,5,4,5)；Top1=0.9158；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[跨岗位沟通等级4]n=5top=0.916 ; 岗位技能要求库[跨岗位沟通]n=5top=0.517"
RETR-106,如何判断项目交付等级1，需要哪些证据？,SKILL-058_项目交付.md,L1,KC-SKILL-058-L1,SKILL-058_项目交付,0.79,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1)；Top1=0.8198；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[项目交付等级1判断标准证据]n=5top=0.820"
RETR-131,如何判断面向对象设计等级1，需要哪些证据？,SKILL-003_面向对象设计.md,L1,KC-SKILL-003-L1,SKILL-003_面向对象设计,0.88,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1)；Top1=0.9265；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[面向对象设计等级1]n=5top=0.926"
RETR-132,如何判断数据清洗等级3，需要哪些证据？,SKILL-010_数据清洗.md,L3,KC-SKILL-010-L3,SKILL-010_数据清洗,0.80,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3)；Top1=0.7912；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[数据清洗等级3判断标准证据]n=5top=0.791"
RETR-133,如何判断线性代数等级5，需要哪些证据？,SKILL-017_线性代数.md,L5,KC-SKILL-017-L5,SKILL-017_线性代数,0.87,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,5,5,5,3,4,3,5,3,5,5,5,5,4,5)；Top1=0.855；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[线性代数等级5]n=5top=0.855"
RETR-134,如何判断大模型基础等级2，需要哪些证据？,SKILL-025_大模型基础.md,L2,KC-SKILL-025-L2,SKILL-025_大模型基础,0.83,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1)；Top1=0.7843；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[大模型基础等级2判断标准证据]n=5top=0.784"
RETR-135,如何判断AI安全与评测等级4，需要哪些证据？,SKILL-032_AI安全与评测.md,L4,KC-SKILL-032-L4,SKILL-032_AI安全与评测,0.83,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4,4)；Top1=0.8358；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[AI安全与评测等级4判断标准]n=5top=0.836 ; 技能知识库[AI安全与评测技能定义等级]n=5top=0.891"
RETR-136,如何判断数据工程管道等级1，需要哪些证据？,SKILL-040_数据工程管道.md,L1,KC-SKILL-040-L1,SKILL-040_数据工程管道,0.85,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1)；Top1=0.9159；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[数据工程管道等级1]n=5top=0.916"
RETR-137,如何判断创新与方案比较等级3，需要哪些证据？,SKILL-047_创新与方案比较.md,L3,KC-SKILL-047-L3,SKILL-047_创新与方案比较,0.80,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3,3,3)；Top1=0.8882；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[创新与方案比较 等级3]n=5top=0.888"
RETR-138,如何判断职业伦理与隐私等级5，需要哪些证据？,SKILL-054_职业伦理与隐私.md,L5,KC-SKILL-054-L5,SKILL-054_职业伦理与隐私,0.88,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,5,5,5,3,5,5,3,4,3,5,3,5,5,5,4,5)；Top1=0.919；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[职业伦理与隐私等级5]n=5top=0.919"
RETR-164,如何判断软件工程等级2，需要哪些证据？,SKILL-007_软件工程.md,L2,KC-SKILL-007-L2,SKILL-007_软件工程,0.86,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1)；Top1=0.8459；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[软件工程等级2判断证据]n=5top=0.846"
RETR-165,如何判断Excel与BI工具等级4，需要哪些证据？,SKILL-014_Excel与BI工具.md,L4,KC-SKILL-014-L4,SKILL-014_Excel与BI工具,0.88,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,3,4,4,4,4,2,3,4,3,5,3,4,5,4,4,4,3,5)；Top1=0.9217；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[Excel与BI工具等级]n=5top=0.922"
RETR-166,如何判断深度学习等级1，需要哪些证据？,SKILL-022_深度学习.md,L1,KC-SKILL-022-L1,SKILL-022_深度学习,0.81,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1)；Top1=0.7927；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[深度学习等级1判断标准证据]n=5top=0.793"
RETR-167,如何判断智能体开发等级3，需要哪些证据？,SKILL-029_智能体开发.md,L3,KC-SKILL-029-L3,SKILL-029_智能体开发,0.87,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3,3,3)；Top1=0.8875；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[智能体开发 等级3 证据]n=5top=0.888"
RETR-168,如何判断Docker容器等级5，需要哪些证据？,SKILL-036_Docker容器.md,L5,KC-SKILL-036-L5,SKILL-036_Docker容器,0.85,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5,5,5)；Top1=0.8444；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[Docker容器等级5判断标准证据]n=5top=0.844"
RETR-169,如何判断用户研究等级2，需要哪些证据？,SKILL-044_用户研究.md,L2,KC-SKILL-044-L2,SKILL-044_用户研究,0.84,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,2,2,2,1,2,3,1,2,3,2,2,2,3,2,2,3)；Top1=0.9094；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[用户研究等级2]n=5top=0.909"
RETR-170,如何判断远程协作等级4，需要哪些证据？,SKILL-051_远程协作.md,L4,KC-SKILL-051-L4,SKILL-051_远程协作,0.84,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4)；Top1=0.8371；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[远程协作 等级4 判断证据]n=5top=0.837"
RETR-171,如何判断复盘与反馈等级1，需要哪些证据？,SKILL-059_复盘与反馈.md,L1,KC-SKILL-059-L1,SKILL-059_复盘与反馈,0.86,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,1,2)；Top1=0.8538；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[复盘与反馈等级1 判断标准 证据]n=5top=0.854"
RETR-196,如何判断计算机系统基础等级1，需要哪些证据？,SKILL-004_计算机系统基础.md,L1,KC-SKILL-004-L1,SKILL-004_计算机系统基础,0.91,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1)；Top1=0.9256；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[计算机系统基础技能定义等级]n=5top=0.926 ; 岗位技能要求库[计算机系统基础]n=5top=0.508"
RETR-197,如何判断统计学基础等级3，需要哪些证据？,SKILL-011_统计学基础.md,L3,KC-SKILL-011-L3,SKILL-011_统计学基础,0.89,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,1,3,1,3,3,3,3,3,4)；Top1=0.9108；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[统计学基础等级3]n=5top=0.911 ; 岗位技能要求库[统计学基础等级3]n=5top=0.559"
RETR-198,如何判断微积分与优化等级5，需要哪些证据？,SKILL-018_微积分与优化.md,L5,KC-SKILL-018-L5,SKILL-018_微积分与优化,0.89,1,1,是,是,是,否,3,"首提等级5(提及5,5,1,3,5,5,5,5,5,5)；Top1=0.9103；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[微积分与优化等级5]n=5top=0.910 ; 学习资源库[微积分与优化]n=5top=0.912 ; 岗位技能要求库[微积分与优化]n=5top=0.511"
RETR-199,如何判断提示词设计等级2，需要哪些证据？,SKILL-026_提示词设计.md,L2,KC-SKILL-026-L2,SKILL-026_提示词设计,0.88,1,1,是,是,是,否,3,"首提等级2(提及2,1,2,1,2,2,2,1,1,2,2,2,3)；Top1=0.9224；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[提示词设计等级2]n=5top=0.922 ; 岗位技能要求库[提示词设计等级2]n=5top=0.544"
RETR-200,如何判断Git版本控制等级4，需要哪些证据？,SKILL-033_Git版本控制.md,L4,KC-SKILL-033-L4,SKILL-033_Git版本控制,0.89,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4)；Top1=0.8936；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[Git版本控制 等级4 判断标准]n=5top=0.894 ; 岗位技能要求库[Git版本控制 技能要求]n=5top=0.563"
