case_id,query,期望,尝试次数,答案来源,答案首次提及等级,答案提及等级列表,等级精确,答案含KC卡ID,答案含技能ID,证据含期望KC卡ID,证据含期望技能文档,Top1可回答性,Top1相似度,Top1说明,调用数,调用明细,答案摘录
RETR-035,如何判断探索性数据分析等级4，需要哪些证据？,SKILL-012 L4,1,ws,4,"4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4,5,4,4,3,4,3,4,3,4,4,3,5",是,否,是,是,是,3,0.9256,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[探索性数据分析等级4]n=5top=0.926,"## 探索性数据分析等级4的判断标准与证据要求 **技能 ID**：SKILL-012 **所属领域**：数据处理与分析 **技能定义**：通过统计和图形发现数据规律与问题 --- ### 📌 等级4的判断标准 等级4的核心要求是： > **独立完成常见任务、解释方法并处理异常。** 等级4与等级3处于同一能力档次（""独立、解释、应对""），但等级4是这一档次的**深化与成熟**。结合""探索性数据分析""的技能定义——**通过统计和图形发现"
RETR-036,如何判断特征工程等级1，需要哪些证据？,SKILL-020 L1,1,ws,1,"1,1,1,1,1,1,1,1,1,1,2,3,1,1,1",是,否,是,是,是,3,0.8931,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[特征工程等级1]n=5top=0.893,"## 特征工程等级1的判断标准与证据要求 **技能 ID**：SKILL-020 **所属领域**：机器学习与算法 **技能定义**：构造、筛选和验证有效特征 --- ### 📌 等级1的判断标准 等级1的核心要求是： > **理解基础概念，并在指导下完成任务。** 等级1是入门级，重点判断学习者是否具备特征工程的**基础认知**和**在指引下行动的能力**。结合""特征工程""的技能定义——**构造、筛选和验证有效特征**，等级1的具体判"
RETR-037,如何判断RAG应用等级3，需要哪些证据？,SKILL-027 L3,1,ws,3,"3,3,3,3,3,3,3,1,1,3,4,5,3,3,3",是,否,是,是,是,3,0.8731,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[RAG应用]n=5top=0.873,"## RAG应用等级3的判断标准与证据要求 **技能 ID**：SKILL-027 **所属领域**：大模型与AI应用 **技能定义**：构建检索增强生成流程并评估检索与回答 --- ### 📌 等级3的判断标准 等级3的核心要求是： > **独立完成常见任务、解释方法并处理异常。** 等级3是能力跃升的关键节点，代表从""在指导下做""到""独立负责""的转变。结合""RAG应用""的技能定义——**构建检索增强生成流程并评估检索与回答**，三大"
RETR-038,如何判断API设计等级5，需要哪些证据？,SKILL-034 L5,2,ws,5,"5,5,5,5,1,3,5,5,5",是,否,是,是,是,3,0.7961,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[API设计等级5 判断标准 证据]n=5top=0.796 ; 岗位技能要求库[API设计等级5技能要求]n=5top=0.585,## 如何判断 API设计等级5？需要哪些证据？ 根据技能知识库中 **API设计（SKILL-034）** 的定义，以下是等级5的判断标准和所需证据： --- ### 🎯 等级5的核心要求 等级5要求学习者能做到 **三件事**： | 维度 | 具体要求 | |------|----------| | **设计复杂方案** | 能为复杂业务场景设计完整、合理的API架构方案，而非简单接口 | | **评估风险** | 能识别API设计
RETR-039,如何判断系统思维等级2，需要哪些证据？,SKILL-042 L2,1,ws,2,"2,2,2,2,1,2,3,4,5,2,2",是,否,是,是,是,3,0.8216,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[系统思维等级2判断标准证据]n=5top=0.822,## 如何判断系统思维等级2？需要哪些证据？ 根据技能知识库中 **系统思维（SKILL-042）** 的定义，以下是等级2的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-042 | | **所属领域** | 问题解决与产品思维 | | **技能定义** | 识别组件关系、反馈回路和整体影响 | | **评分区间** | 0–100 
RETR-040,如何判断表达与汇报等级4，需要哪些证据？,SKILL-049 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4",是,否,是,是,是,3,0.905,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[表达与汇报等级4]n=5top=0.905,## 如何判断表达与汇报等级4？需要哪些证据？ 根据技能知识库中 **表达与汇报（SKILL-049）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-049 | | **所属领域** | 沟通协作与职业素养 | | **技能定义** | 针对听众准确呈现信息和取舍 | | **评分区间** | 0–100 分
RETR-041,如何判断项目规划等级1，需要哪些证据？,SKILL-057 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1",是,否,是,是,是,3,0.8856,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[项目规划等级1]n=5top=0.886,## 如何判断项目规划等级1？需要哪些证据？ 根据技能知识库中 **项目规划（SKILL-057）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-057 | | **所属领域** | 学习成长与项目实践 | | **技能定义** | 定义范围、里程碑、风险和资源 | | **评分区间** | 0–100 分 
RETR-066,如何判断数据结构与算法等级1，需要哪些证据？,SKILL-002 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1",是,否,是,是,是,3,0.9165,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[数据结构与算法等级1]n=5top=0.916,## 如何判断数据结构与算法等级1？需要哪些证据？ 根据技能知识库中 **数据结构与算法（SKILL-002）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-002 | | **所属领域** | 编程与计算基础 | | **技能定义** | 使用常见数据结构和算法解决问题 | | **评分区间** | 0–1
RETR-067,如何判断SQL等级3，需要哪些证据？,SKILL-009 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,3,3,3",是,否,是,是,是,3,0.8656,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[SQL技能等级3]n=5top=0.866,## 如何判断 SQL 等级3？需要哪些证据？ 根据技能知识库中 **SQL（SKILL-009）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-009 | | **所属领域** | 数据处理与分析 | | **技能定义** | 查询、聚合、连接和优化结构化数据 | | **评分区间** | 0–100 分 
RETR-068,如何判断实验与A/B测试等级5，需要哪些证据？,SKILL-016 L5,1,ws,5,"5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5",是,否,是,是,是,3,0.8977,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[实验与A/B测试 等级5 证据]n=5top=0.898 ; 技能知识库[实验与A/B测试 技能定义 评分等级]n=5top=0.905,## 如何判断实验与A/B测试等级5？需要哪些证据？ 根据技能知识库中 **实验与A/B测试（SKILL-016）** 的定义，以下是等级5的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-016 | | **所属领域** | 数据处理与分析 | | **技能定义** | 设计实验、分析显著性并解释业务影响 | | **评分区间** |
RETR-069,如何判断模型调优等级2，需要哪些证据？,SKILL-024 L2,1,ws,2,"2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1",是,否,是,是,是,3,0.8617,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[模型调优等级2]n=5top=0.862 ; 岗位技能要求库[模型调优等级2证据]n=5top=0.534,## 如何判断模型调优等级2？需要哪些证据？ 根据技能知识库中 **模型调优（SKILL-024）** 的定义，以下是等级2的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-024 | | **所属领域** | 机器学习与算法 | | **技能定义** | 调节参数、控制过拟合并复现实验 | | **评分区间** | 0–100 分 |
RETR-070,如何判断模型微调等级4，需要哪些证据？,SKILL-031 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4",是,否,是,是,是,3,0.8852,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[模型微调等级4]n=5top=0.885,## 如何判断模型微调等级4？需要哪些证据？ 根据技能知识库中 **模型微调（SKILL-031）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-031 | | **所属领域** | 大模型与AI应用 | | **技能定义** | 理解数据准备、参数高效微调和评估流程 | | **评分区间** | 0–100
RETR-071,如何判断监控与可观测性等级1，需要哪些证据？,SKILL-039 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1",是,否,是,是,是,3,0.9203,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[监控与可观测性]n=5top=0.920,## 如何判断监控与可观测性等级1？需要哪些证据？ 根据技能知识库中 **监控与可观测性（SKILL-039）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-039 | | **所属领域** | 工程部署与工具 | | **技能定义** | 使用日志、指标和追踪定位运行问题 | | **评分区间** | 0–
RETR-072,如何判断业务理解等级3，需要哪些证据？,SKILL-046 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3",是,否,是,是,是,3,0.8063,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[业务理解等级3判断标准证据]n=5top=0.806,## 如何判断业务理解等级3？需要哪些证据？ 根据技能知识库中 **业务理解（SKILL-046）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-046 | | **所属领域** | 问题解决与产品思维 | | **技能定义** | 把技术输出转化为业务判断和行动 | | **评分区间** | 0–100 分
RETR-073,如何判断时间管理等级5，需要哪些证据？,SKILL-053 L5,1,ws,5,"5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5",是,否,是,是,是,3,0.9143,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[时间管理等级5]n=5top=0.914,## 如何判断时间管理等级5？需要哪些证据？ 根据技能知识库中 **时间管理（SKILL-053）** 的定义，以下是等级5的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-053 | | **所属领域** | 沟通协作与职业素养 | | **技能定义** | 按优先级规划和调整个人工作 | | **评分区间** | 0–100 分 |
RETR-099,如何判断Linux使用等级2，需要哪些证据？,SKILL-006 L2,1,ws,2,"2,2,2,2,1,2,2,2,2,1,2,3,2,3,2,3,3",是,否,是,是,是,3,0.8509,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[Linux使用等级2 证据]n=5top=0.851 ; 技能知识库[Linux技能等级评定标准]n=5top=0.828,## Linux使用等级2的判断标准与证据要求 根据技能知识库（SKILL-006）的记录，以下是关于 **Linux使用等级2** 的详细信息： --- ### 📌 基本信息 - **技能定义**：使用命令行、权限和进程工具完成开发任务 - **所属领域**：编程与计算基础 - **评分区间**：0–100 分 --- ### 🎯 等级2能力要求 > **理解基础概念，并能在指导下完成任务** 等级2与等级1的通用描述一致，但等级2意
RETR-100,如何判断数据可视化等级4，需要哪些证据？,SKILL-013 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4",是,否,是,是,是,3,0.9055,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[数据可视化等级4]n=5top=0.906,## 如何判断数据可视化等级4？需要哪些证据？ 根据技能知识库中 **数据可视化（SKILL-013）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-013 | | **所属领域** | 数据处理与分析 | | **技能定义** | 选择合适图表并清晰表达数据结论 | | **评分区间** | 0–100 分
RETR-101,如何判断模型评估等级1，需要哪些证据？,SKILL-021 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1",是,否,是,是,是,3,0.8295,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[模型评估等级1]n=5top=0.830,## 如何判断模型评估等级1？需要哪些证据？ 根据技能知识库中 **模型评估（SKILL-021）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-021 | | **所属领域** | 机器学习与算法 | | **技能定义** | 选择指标、交叉验证并分析误差 | | **评分区间** | 0–100 分 | 
RETR-102,如何判断向量数据库等级3，需要哪些证据？,SKILL-028 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3",是,否,是,是,是,3,0.9228,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[向量数据库等级3]n=5top=0.923,## 如何判断向量数据库等级3？需要哪些证据？ 根据技能知识库中 **向量数据库（SKILL-028）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-028 | | **所属领域** | 大模型与AI应用 | | **技能定义** | 管理向量索引、相似度检索和元数据过滤 | | **评分区间** | 0–1
RETR-103,如何判断后端服务开发等级5，需要哪些证据？,SKILL-035 L5,1,ws,5,"5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5,5",是,否,是,是,是,3,0.8876,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[后端服务开发等级5判断标准]n=5top=0.888,## 如何判断后端服务开发等级5？需要哪些证据？ 根据技能知识库中 **后端服务开发（SKILL-035）** 的定义，以下是等级5的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-035 | | **所属领域** | 工程部署与工具 | | **技能定义** | 实现业务服务、鉴权、存储和错误处理 | | **评分区间** | 0–1
RETR-104,如何判断需求分析等级2，需要哪些证据？,SKILL-043 L2,1,ws,2,"2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1",是,否,是,是,是,3,0.9125,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[需求分析等级2]n=5top=0.912,## 如何判断需求分析等级2？需要哪些证据？ 根据技能知识库中 **需求分析（SKILL-043）** 的定义，以下是等级2的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-043 | | **所属领域** | 问题解决与产品思维 | | **技能定义** | 澄清用户目标、边界和验收条件 | | **评分区间** | 0–100 分 
RETR-105,如何判断跨岗位沟通等级4，需要哪些证据？,SKILL-050 L4,1,ws,4,"4,4,4,4,3,4,4,4,4,3,4,5,3,4,5,4,5",是,否,是,是,是,3,0.9158,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[跨岗位沟通等级4]n=5top=0.916 ; 岗位技能要求库[跨岗位沟通]n=5top=0.517,## 跨岗位沟通等级4的判断标准与证据要求 根据技能知识库（SKILL-050）的记录，以下是关于 **跨岗位沟通等级4** 的详细信息： --- ### 📌 基本信息 - **技能ID**：SKILL-050 - **所属领域**：沟通协作与职业素养 - **技能定义**：在技术、产品与业务角色之间对齐理解 - **评分区间**：0–100 分 --- ### 🎯 等级4能力要求 > **独立完成常见任务、解释方法并处理异常** 等级
RETR-106,如何判断项目交付等级1，需要哪些证据？,SKILL-058 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1",是,否,是,是,是,3,0.8198,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[项目交付等级1判断标准证据]n=5top=0.820,## 如何判断项目交付等级1？需要哪些证据？ 根据技能知识库中 **项目交付（SKILL-058）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-058 | | **所属领域** | 学习成长与项目实践 | | **技能定义** | 完成可运行成果、文档和复盘 | | **评分区间** | 0–100 分 |
RETR-131,如何判断面向对象设计等级1，需要哪些证据？,SKILL-003 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1",是,否,是,是,是,3,0.9265,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[面向对象设计等级1]n=5top=0.926,## 如何判断面向对象设计等级1？需要哪些证据？ 根据技能知识库中 **面向对象设计（SKILL-003）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-003 | | **所属领域** | 编程与计算基础 | | **技能定义** | 使用抽象、封装和组合组织代码 | | **评分区间** | 0–100 
RETR-132,如何判断数据清洗等级3，需要哪些证据？,SKILL-010 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3",是,否,是,是,是,3,0.7912,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[数据清洗等级3判断标准证据]n=5top=0.791,## 如何判断数据清洗等级3？需要哪些证据？ 根据技能知识库中 **数据清洗（SKILL-010）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-010 | | **所属领域** | 数据处理与分析 | | **技能定义** | 识别并处理缺失、重复、异常和格式问题 | | **评分区间** | 0–100 
RETR-133,如何判断线性代数等级5，需要哪些证据？,SKILL-017 L5,1,ws,5,"5,5,5,5,5,5,5,3,4,3,5,3,5,5,5,5,4,5",是,否,是,是,是,3,0.855,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[线性代数等级5]n=5top=0.855,## 线性代数等级5的判断标准与证据要求 根据技能知识库（SKILL-017）的记录，以下是关于 **线性代数等级5** 的详细信息： --- ### 📌 基本信息 - **技能ID**：SKILL-017 - **所属领域**：机器学习与算法 - **技能定义**：理解向量、矩阵、特征值及其模型应用 - **评分区间**：0–100 分 --- ### 🎯 等级5能力要求 > **设计复杂方案、评估风险并指导他人** 等级5是线性代数
RETR-134,如何判断大模型基础等级2，需要哪些证据？,SKILL-025 L2,1,ws,2,"2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1",是,否,是,是,是,3,0.7843,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[大模型基础等级2判断标准证据]n=5top=0.784,## 如何判断大模型基础等级2？需要哪些证据？ 根据技能知识库中 **大模型基础（SKILL-025）** 的定义，以下是等级2的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-025 | | **所属领域** | 大模型与AI应用 | | **技能定义** | 理解Transformer、上下文、推理和局限 | | **评分区间** 
RETR-135,如何判断AI安全与评测等级4，需要哪些证据？,SKILL-032 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4,4",是,否,是,是,是,3,0.8358,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[AI安全与评测等级4判断标准]n=5top=0.836 ; 技能知识库[AI安全与评测技能定义等级]n=5top=0.891,## 如何判断AI安全与评测等级4？需要哪些证据？ 根据技能知识库中 **AI安全与评测（SKILL-032）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-032 | | **所属领域** | 大模型与AI应用 | | **技能定义** | 识别幻觉、偏见、隐私和越权风险 | | **评分区间** | 0–
RETR-136,如何判断数据工程管道等级1，需要哪些证据？,SKILL-040 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1",是,否,是,是,是,3,0.9159,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[数据工程管道等级1]n=5top=0.916,## 如何判断数据工程管道等级1？需要哪些证据？ 根据技能知识库中 **数据工程管道（SKILL-040）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-040 | | **所属领域** | 工程部署与工具 | | **技能定义** | 构建稳定的数据采集、转换和调度流程 | | **评分区间** | 0–1
