case_id,query,expected_card_ids,expected_doc,covered_by,本库是否覆盖,hit
RETR-022,项目交付能力测评-058适合什么水平，预计需要多长时间？,KC-RES-0478,资源卡 KC-RES-0478,学习资源库（待建，表格型）,否,
RETR-023,后端服务开发能力测评-095适合什么水平，预计需要多长时间？,KC-RES-0515,资源卡 KC-RES-0515,学习资源库（待建，表格型）,否,
RETR-024,探索性数据分析职业应用指南-012适合什么水平，预计需要多长时间？,KC-RES-0552,资源卡 KC-RES-0552,学习资源库（待建，表格型）,否,
RETR-025,表达与汇报职业应用指南-049适合什么水平，预计需要多长时间？,KC-RES-0589,资源卡 KC-RES-0589,学习资源库（待建，表格型）,否,
RETR-026,AI算法工程师与提示词设计在岗位匹配中如何体现？,KC-ROLE-AI-ALG-026,岗位技能卡 KC-ROLE-AI-ALG-026,岗位技能要求库（待建，表格型）,否,
RETR-027,AI应用开发工程师与面向对象设计在岗位匹配中如何体现？,KC-ROLE-AI-APP-003,岗位技能卡 KC-ROLE-AI-APP-003,岗位技能要求库（待建，表格型）,否,
RETR-028,AI应用开发工程师与数据工程管道在岗位匹配中如何体现？,KC-ROLE-AI-APP-040,岗位技能卡 KC-ROLE-AI-APP-040,岗位技能要求库（待建，表格型）,否,
RETR-029,数据分析师与线性代数在岗位匹配中如何体现？,KC-ROLE-DATA-017,岗位技能卡 KC-ROLE-DATA-017,岗位技能要求库（待建，表格型）,否,
RETR-030,数据分析师与职业伦理与隐私在岗位匹配中如何体现？,KC-ROLE-DATA-054,岗位技能卡 KC-ROLE-DATA-054,岗位技能要求库（待建，表格型）,否,
RETR-031,实验与A/B测试趋势数据解释应如何向用户解释？,KC-TREND-016,SKILL-016（实验与A/B测试）趋势段,趋势数据解释（归属待定）,否,
RETR-032,API设计数据使用边界应如何向用户解释？,KC-ETHICS-034,SKILL-034（API设计）合规段,隐私与合规边界（归属待定）,否,
RETR-033,时间管理趋势数据解释应如何向用户解释？,KC-TREND-053,SKILL-053（时间管理）趋势段,趋势数据解释（归属待定）,否,
RETR-034,如何判断计算机网络等级2，需要哪些证据？,KC-SKILL-005-L2,★ SKILL-005_计算机网络.md,技能知识库（已建）,是,
RETR-035,如何判断探索性数据分析等级4，需要哪些证据？,KC-SKILL-012-L4,★ SKILL-012_探索性数据分析.md,技能知识库（已建）,是,
RETR-036,如何判断特征工程等级1，需要哪些证据？,KC-SKILL-020-L1,★ SKILL-020_特征工程.md,技能知识库（已建）,是,
RETR-037,如何判断RAG应用等级3，需要哪些证据？,KC-SKILL-027-L3,★ SKILL-027_RAG应用.md,技能知识库（已建）,是,
RETR-038,如何判断API设计等级5，需要哪些证据？,KC-SKILL-034-L5,★ SKILL-034_API设计.md,技能知识库（已建）,是,
RETR-039,如何判断系统思维等级2，需要哪些证据？,KC-SKILL-042-L2,★ SKILL-042_系统思维.md,技能知识库（已建）,是,
RETR-040,如何判断表达与汇报等级4，需要哪些证据？,KC-SKILL-049-L4,★ SKILL-049_表达与汇报.md,技能知识库（已建）,是,
RETR-041,如何判断项目规划等级1，需要哪些证据？,KC-SKILL-057-L1,★ SKILL-057_项目规划.md,技能知识库（已建）,是,
RETR-042,国产大模型之腾讯混元大模型应用实战课适合什么水平，预计需要多长时间？,KC-RES-0018,资源卡 KC-RES-0018,学习资源库（待建，表格型）,否,
RETR-043,自主学习课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0055,资源卡 KC-RES-0055,学习资源库（待建，表格型）,否,
RETR-044,AI安全与评测课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0092,资源卡 KC-RES-0092,学习资源库（待建，表格型）,否,
RETR-045,SQL实践项目-009适合什么水平，预计需要多长时间？,KC-RES-0129,资源卡 KC-RES-0129,学习资源库（待建，表格型）,否,
RETR-046,业务理解实践项目-046适合什么水平，预计需要多长时间？,KC-RES-0166,资源卡 KC-RES-0166,学习资源库（待建，表格型）,否,
RETR-047,自然语言处理实践项目-083适合什么水平，预计需要多长时间？,KC-RES-0203,资源卡 KC-RES-0203,学习资源库（待建，表格型）,否,
RETR-048,职业探索实践项目-120适合什么水平，预计需要多长时间？,KC-RES-0240,资源卡 KC-RES-0240,学习资源库（待建，表格型）,否,
RETR-049,CI/CD实践项目-157适合什么水平，预计需要多长时间？,KC-RES-0277,资源卡 KC-RES-0277,学习资源库（待建，表格型）,否,
RETR-050,Excel与BI工具实践项目-194适合什么水平，预计需要多长时间？,KC-RES-0314,资源卡 KC-RES-0314,学习资源库（待建，表格型）,否,
RETR-051,远程协作实践项目-231适合什么水平，预计需要多长时间？,KC-RES-0351,资源卡 KC-RES-0351,学习资源库（待建，表格型）,否,
RETR-052,向量数据库实践项目-268适合什么水平，预计需要多长时间？,KC-RES-0388,资源卡 KC-RES-0388,学习资源库（待建，表格型）,否,
RETR-053,计算机网络能力测评-005适合什么水平，预计需要多长时间？,KC-RES-0425,资源卡 KC-RES-0425,学习资源库（待建，表格型）,否,
RETR-054,系统思维能力测评-042适合什么水平，预计需要多长时间？,KC-RES-0462,资源卡 KC-RES-0462,学习资源库（待建，表格型）,否,
RETR-055,机器学习能力测评-079适合什么水平，预计需要多长时间？,KC-RES-0499,资源卡 KC-RES-0499,学习资源库（待建，表格型）,否,
RETR-056,知识管理能力测评-116适合什么水平，预计需要多长时间？,KC-RES-0536,资源卡 KC-RES-0536,学习资源库（待建，表格型）,否,
RETR-057,Git版本控制职业应用指南-033适合什么水平，预计需要多长时间？,KC-RES-0573,资源卡 KC-RES-0573,学习资源库（待建，表格型）,否,
RETR-058,AI算法工程师与数据清洗在岗位匹配中如何体现？,KC-ROLE-AI-ALG-010,岗位技能卡 KC-ROLE-AI-ALG-010,岗位技能要求库（待建，表格型）,否,
RETR-059,AI算法工程师与创新与方案比较在岗位匹配中如何体现？,KC-ROLE-AI-ALG-047,岗位技能卡 KC-ROLE-AI-ALG-047,岗位技能要求库（待建，表格型）,否,
RETR-060,AI应用开发工程师与模型调优在岗位匹配中如何体现？,KC-ROLE-AI-APP-024,岗位技能卡 KC-ROLE-AI-APP-024,岗位技能要求库（待建，表格型）,否,
RETR-061,数据分析师与Python编程在岗位匹配中如何体现？,KC-ROLE-DATA-001,岗位技能卡 KC-ROLE-DATA-001,岗位技能要求库（待建，表格型）,否,
RETR-062,数据分析师与云端部署在岗位匹配中如何体现？,KC-ROLE-DATA-038,岗位技能卡 KC-ROLE-DATA-038,岗位技能要求库（待建，表格型）,否,
RETR-063,测试与调试趋势数据解释应如何向用户解释？,KC-TREND-008,SKILL-008（测试与调试）趋势段,趋势数据解释（归属待定）,否,
RETR-064,提示词设计数据使用边界应如何向用户解释？,KC-ETHICS-026,SKILL-026（提示词设计）合规段,隐私与合规边界（归属待定）,否,
RETR-065,指标设计趋势数据解释应如何向用户解释？,KC-TREND-045,SKILL-045（指标设计）趋势段,趋势数据解释（归属待定）,否,
RETR-066,如何判断数据结构与算法等级1，需要哪些证据？,KC-SKILL-002-L1,★ SKILL-002_数据结构与算法.md,技能知识库（已建）,是,
RETR-067,如何判断SQL等级3，需要哪些证据？,KC-SKILL-009-L3,★ SKILL-009_SQL.md,技能知识库（已建）,是,
RETR-068,如何判断实验与A/B测试等级5，需要哪些证据？,KC-SKILL-016-L5,★ SKILL-016_实验与A/B测试.md,技能知识库（已建）,是,
RETR-069,如何判断模型调优等级2，需要哪些证据？,KC-SKILL-024-L2,★ SKILL-024_模型调优.md,技能知识库（已建）,是,
RETR-070,如何判断模型微调等级4，需要哪些证据？,KC-SKILL-031-L4,★ SKILL-031_模型微调.md,技能知识库（已建）,是,
RETR-071,如何判断监控与可观测性等级1，需要哪些证据？,KC-SKILL-039-L1,★ SKILL-039_监控与可观测性.md,技能知识库（已建）,是,
RETR-072,如何判断业务理解等级3，需要哪些证据？,KC-SKILL-046-L3,★ SKILL-046_业务理解.md,技能知识库（已建）,是,
RETR-073,如何判断时间管理等级5，需要哪些证据？,KC-SKILL-053-L5,★ SKILL-053_时间管理.md,技能知识库（已建）,是,
RETR-074,人工智能概论适合什么水平，预计需要多长时间？,KC-RES-0002,资源卡 KC-RES-0002,学习资源库（待建，表格型）,否,
RETR-075,监控与可观测性课程主题卡（beginner）适合什么水平，预计需要多长时间？,KC-RES-0039,资源卡 KC-RES-0039,学习资源库（待建，表格型）,否,
RETR-076,实验与A/B测试课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0076,资源卡 KC-RES-0076,学习资源库（待建，表格型）,否,
RETR-077,时间管理课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0113,资源卡 KC-RES-0113,学习资源库（待建，表格型）,否,
RETR-078,MCP与工具调用实践项目-030适合什么水平，预计需要多长时间？,KC-RES-0150,资源卡 KC-RES-0150,学习资源库（待建，表格型）,否,
RETR-079,软件工程实践项目-067适合什么水平，预计需要多长时间？,KC-RES-0187,资源卡 KC-RES-0187,学习资源库（待建，表格型）,否,
RETR-080,用户研究实践项目-104适合什么水平，预计需要多长时间？,KC-RES-0224,资源卡 KC-RES-0224,学习资源库（待建，表格型）,否,
RETR-081,模型评估实践项目-141适合什么水平，预计需要多长时间？,KC-RES-0261,资源卡 KC-RES-0261,学习资源库（待建，表格型）,否,
RETR-082,项目交付实践项目-178适合什么水平，预计需要多长时间？,KC-RES-0298,资源卡 KC-RES-0298,学习资源库（待建，表格型）,否,
RETR-083,后端服务开发实践项目-215适合什么水平，预计需要多长时间？,KC-RES-0335,资源卡 KC-RES-0335,学习资源库（待建，表格型）,否,
RETR-084,探索性数据分析实践项目-252适合什么水平，预计需要多长时间？,KC-RES-0372,资源卡 KC-RES-0372,学习资源库（待建，表格型）,否,
RETR-085,表达与汇报实践项目-289适合什么水平，预计需要多长时间？,KC-RES-0409,资源卡 KC-RES-0409,学习资源库（待建，表格型）,否,
RETR-086,提示词设计能力测评-026适合什么水平，预计需要多长时间？,KC-RES-0446,资源卡 KC-RES-0446,学习资源库（待建，表格型）,否,
RETR-087,面向对象设计能力测评-063适合什么水平，预计需要多长时间？,KC-RES-0483,资源卡 KC-RES-0483,学习资源库（待建，表格型）,否,
RETR-088,数据工程管道能力测评-100适合什么水平，预计需要多长时间？,KC-RES-0520,资源卡 KC-RES-0520,学习资源库（待建，表格型）,否,
RETR-089,线性代数职业应用指南-017适合什么水平，预计需要多长时间？,KC-RES-0557,资源卡 KC-RES-0557,学习资源库（待建，表格型）,否,
RETR-090,职业伦理与隐私职业应用指南-054适合什么水平，预计需要多长时间？,KC-RES-0594,资源卡 KC-RES-0594,学习资源库（待建，表格型）,否,
RETR-091,AI算法工程师与模型微调在岗位匹配中如何体现？,KC-ROLE-AI-ALG-031,岗位技能卡 KC-ROLE-AI-ALG-031,岗位技能要求库（待建，表格型）,否,
RETR-092,AI应用开发工程师与测试与调试在岗位匹配中如何体现？,KC-ROLE-AI-APP-008,岗位技能卡 KC-ROLE-AI-APP-008,岗位技能要求库（待建，表格型）,否,
RETR-093,AI应用开发工程师与指标设计在岗位匹配中如何体现？,KC-ROLE-AI-APP-045,岗位技能卡 KC-ROLE-AI-APP-045,岗位技能要求库（待建，表格型）,否,
RETR-094,数据分析师与深度学习在岗位匹配中如何体现？,KC-ROLE-DATA-022,岗位技能卡 KC-ROLE-DATA-022,岗位技能要求库（待建，表格型）,否,
RETR-095,数据分析师与复盘与反馈在岗位匹配中如何体现？,KC-ROLE-DATA-059,岗位技能卡 KC-ROLE-DATA-059,岗位技能要求库（待建，表格型）,否,
RETR-096,微积分与优化数据使用边界应如何向用户解释？,KC-ETHICS-018,SKILL-018（微积分与优化）合规段,隐私与合规边界（归属待定）,否,
RETR-097,CI/CD趋势数据解释应如何向用户解释？,KC-TREND-037,SKILL-037（CI/CD）趋势段,趋势数据解释（归属待定）,否,
RETR-098,自主学习数据使用边界应如何向用户解释？,KC-ETHICS-055,SKILL-055（自主学习）合规段,隐私与合规边界（归属待定）,否,
RETR-099,如何判断Linux使用等级2，需要哪些证据？,KC-SKILL-006-L2,★ SKILL-006_Linux使用.md,技能知识库（已建）,是,
RETR-100,如何判断数据可视化等级4，需要哪些证据？,KC-SKILL-013-L4,★ SKILL-013_数据可视化.md,技能知识库（已建）,是,
RETR-101,如何判断模型评估等级1，需要哪些证据？,KC-SKILL-021-L1,★ SKILL-021_模型评估.md,技能知识库（已建）,是,
RETR-102,如何判断向量数据库等级3，需要哪些证据？,KC-SKILL-028-L3,★ SKILL-028_向量数据库.md,技能知识库（已建）,是,
RETR-103,如何判断后端服务开发等级5，需要哪些证据？,KC-SKILL-035-L5,★ SKILL-035_后端服务开发.md,技能知识库（已建）,是,
RETR-104,如何判断需求分析等级2，需要哪些证据？,KC-SKILL-043-L2,★ SKILL-043_需求分析.md,技能知识库（已建）,是,
RETR-105,如何判断跨岗位沟通等级4，需要哪些证据？,KC-SKILL-050-L4,★ SKILL-050_跨岗位沟通.md,技能知识库（已建）,是,
RETR-106,如何判断项目交付等级1，需要哪些证据？,KC-SKILL-058-L1,★ SKILL-058_项目交付.md,技能知识库（已建）,是,
RETR-107,自然语言处理课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0023,资源卡 KC-RES-0023,学习资源库（待建，表格型）,否,
RETR-108,职业探索课程主题卡（beginner）适合什么水平，预计需要多长时间？,KC-RES-0060,资源卡 KC-RES-0060,学习资源库（待建，表格型）,否,
RETR-109,CI/CD课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0097,资源卡 KC-RES-0097,学习资源库（待建，表格型）,否,
RETR-110,Excel与BI工具实践项目-014适合什么水平，预计需要多长时间？,KC-RES-0134,资源卡 KC-RES-0134,学习资源库（待建，表格型）,否,
RETR-111,远程协作实践项目-051适合什么水平，预计需要多长时间？,KC-RES-0171,资源卡 KC-RES-0171,学习资源库（待建，表格型）,否,
RETR-112,向量数据库实践项目-088适合什么水平，预计需要多长时间？,KC-RES-0208,资源卡 KC-RES-0208,学习资源库（待建，表格型）,否,
RETR-113,计算机网络实践项目-125适合什么水平，预计需要多长时间？,KC-RES-0245,资源卡 KC-RES-0245,学习资源库（待建，表格型）,否,
RETR-114,系统思维实践项目-162适合什么水平，预计需要多长时间？,KC-RES-0282,资源卡 KC-RES-0282,学习资源库（待建，表格型）,否,
RETR-115,机器学习实践项目-199适合什么水平，预计需要多长时间？,KC-RES-0319,资源卡 KC-RES-0319,学习资源库（待建，表格型）,否,
RETR-116,知识管理实践项目-236适合什么水平，预计需要多长时间？,KC-RES-0356,资源卡 KC-RES-0356,学习资源库（待建，表格型）,否,
RETR-117,Git版本控制实践项目-273适合什么水平，预计需要多长时间？,KC-RES-0393,资源卡 KC-RES-0393,学习资源库（待建，表格型）,否,
RETR-118,数据清洗能力测评-010适合什么水平，预计需要多长时间？,KC-RES-0430,资源卡 KC-RES-0430,学习资源库（待建，表格型）,否,
RETR-119,创新与方案比较能力测评-047适合什么水平，预计需要多长时间？,KC-RES-0467,资源卡 KC-RES-0467,学习资源库（待建，表格型）,否,
RETR-120,模型调优能力测评-084适合什么水平，预计需要多长时间？,KC-RES-0504,资源卡 KC-RES-0504,学习资源库（待建，表格型）,否,
RETR-121,Python编程职业应用指南-001适合什么水平，预计需要多长时间？,KC-RES-0541,资源卡 KC-RES-0541,学习资源库（待建，表格型）,否,
RETR-122,云端部署职业应用指南-038适合什么水平，预计需要多长时间？,KC-RES-0578,资源卡 KC-RES-0578,学习资源库（待建，表格型）,否,
RETR-123,AI算法工程师与数据建模在岗位匹配中如何体现？,KC-ROLE-AI-ALG-015,岗位技能卡 KC-ROLE-AI-ALG-015,岗位技能要求库（待建，表格型）,否,
RETR-124,AI算法工程师与团队协作在岗位匹配中如何体现？,KC-ROLE-AI-ALG-052,岗位技能卡 KC-ROLE-AI-ALG-052,岗位技能要求库（待建，表格型）,否,
RETR-125,AI应用开发工程师与智能体开发在岗位匹配中如何体现？,KC-ROLE-AI-APP-029,岗位技能卡 KC-ROLE-AI-APP-029,岗位技能要求库（待建，表格型）,否,
RETR-126,数据分析师与Linux使用在岗位匹配中如何体现？,KC-ROLE-DATA-006,岗位技能卡 KC-ROLE-DATA-006,岗位技能要求库（待建，表格型）,否,
RETR-127,数据分析师与需求分析在岗位匹配中如何体现？,KC-ROLE-DATA-043,岗位技能卡 KC-ROLE-DATA-043,岗位技能要求库（待建，表格型）,否,
RETR-128,数据清洗数据使用边界应如何向用户解释？,KC-ETHICS-010,SKILL-010（数据清洗）合规段,隐私与合规边界（归属待定）,否,
RETR-129,智能体开发趋势数据解释应如何向用户解释？,KC-TREND-029,SKILL-029（智能体开发）趋势段,趋势数据解释（归属待定）,否,
RETR-130,创新与方案比较数据使用边界应如何向用户解释？,KC-ETHICS-047,SKILL-047（创新与方案比较）合规段,隐私与合规边界（归属待定）,否,
RETR-131,如何判断面向对象设计等级1，需要哪些证据？,KC-SKILL-003-L1,★ SKILL-003_面向对象设计.md,技能知识库（已建）,是,
RETR-132,如何判断数据清洗等级3，需要哪些证据？,KC-SKILL-010-L3,★ SKILL-010_数据清洗.md,技能知识库（已建）,是,
RETR-133,如何判断线性代数等级5，需要哪些证据？,KC-SKILL-017-L5,★ SKILL-017_线性代数.md,技能知识库（已建）,是,
RETR-134,如何判断大模型基础等级2，需要哪些证据？,KC-SKILL-025-L2,★ SKILL-025_大模型基础.md,技能知识库（已建）,是,
RETR-135,如何判断AI安全与评测等级4，需要哪些证据？,KC-SKILL-032-L4,★ SKILL-032_AI安全与评测.md,技能知识库（已建）,是,
RETR-136,如何判断数据工程管道等级1，需要哪些证据？,KC-SKILL-040-L1,★ SKILL-040_数据工程管道.md,技能知识库（已建）,是,
RETR-137,如何判断创新与方案比较等级3，需要哪些证据？,KC-SKILL-047-L3,★ SKILL-047_创新与方案比较.md,技能知识库（已建）,是,
RETR-138,如何判断职业伦理与隐私等级5，需要哪些证据？,KC-SKILL-054-L5,★ SKILL-054_职业伦理与隐私.md,技能知识库（已建）,是,
RETR-139,“人工智能先导计划”通识系列讲座适合什么水平，预计需要多长时间？,KC-RES-0007,资源卡 KC-RES-0007,学习资源库（待建，表格型）,否,
RETR-140,用户研究课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0044,资源卡 KC-RES-0044,学习资源库（待建，表格型）,否,
RETR-141,模型评估课程主题卡（beginner）适合什么水平，预计需要多长时间？,KC-RES-0081,资源卡 KC-RES-0081,学习资源库（待建，表格型）,否,
RETR-142,项目交付课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0118,资源卡 KC-RES-0118,学习资源库（待建，表格型）,否,
RETR-143,后端服务开发实践项目-035适合什么水平，预计需要多长时间？,KC-RES-0155,资源卡 KC-RES-0155,学习资源库（待建，表格型）,否,
RETR-144,探索性数据分析实践项目-072适合什么水平，预计需要多长时间？,KC-RES-0192,资源卡 KC-RES-0192,学习资源库（待建，表格型）,否,
RETR-145,表达与汇报实践项目-109适合什么水平，预计需要多长时间？,KC-RES-0229,资源卡 KC-RES-0229,学习资源库（待建，表格型）,否,
RETR-146,提示词设计实践项目-146适合什么水平，预计需要多长时间？,KC-RES-0266,资源卡 KC-RES-0266,学习资源库（待建，表格型）,否,
RETR-147,面向对象设计实践项目-183适合什么水平，预计需要多长时间？,KC-RES-0303,资源卡 KC-RES-0303,学习资源库（待建，表格型）,否,
RETR-148,数据工程管道实践项目-220适合什么水平，预计需要多长时间？,KC-RES-0340,资源卡 KC-RES-0340,学习资源库（待建，表格型）,否,
RETR-149,线性代数实践项目-257适合什么水平，预计需要多长时间？,KC-RES-0377,资源卡 KC-RES-0377,学习资源库（待建，表格型）,否,
RETR-150,职业伦理与隐私实践项目-294适合什么水平，预计需要多长时间？,KC-RES-0414,资源卡 KC-RES-0414,学习资源库（待建，表格型）,否,
RETR-151,模型微调能力测评-031适合什么水平，预计需要多长时间？,KC-RES-0451,资源卡 KC-RES-0451,学习资源库（待建，表格型）,否,
RETR-152,测试与调试能力测评-068适合什么水平，预计需要多长时间？,KC-RES-0488,资源卡 KC-RES-0488,学习资源库（待建，表格型）,否,
RETR-153,指标设计能力测评-105适合什么水平，预计需要多长时间？,KC-RES-0525,资源卡 KC-RES-0525,学习资源库（待建，表格型）,否,
RETR-154,深度学习职业应用指南-022适合什么水平，预计需要多长时间？,KC-RES-0562,资源卡 KC-RES-0562,学习资源库（待建，表格型）,否,
RETR-155,复盘与反馈职业应用指南-059适合什么水平，预计需要多长时间？,KC-RES-0599,资源卡 KC-RES-0599,学习资源库（待建，表格型）,否,
RETR-156,AI算法工程师与Docker容器在岗位匹配中如何体现？,KC-ROLE-AI-ALG-036,岗位技能卡 KC-ROLE-AI-ALG-036,岗位技能要求库（待建，表格型）,否,
RETR-157,AI应用开发工程师与数据可视化在岗位匹配中如何体现？,KC-ROLE-AI-APP-013,岗位技能卡 KC-ROLE-AI-APP-013,岗位技能要求库（待建，表格型）,否,
RETR-158,AI应用开发工程师与跨岗位沟通在岗位匹配中如何体现？,KC-ROLE-AI-APP-050,岗位技能卡 KC-ROLE-AI-APP-050,岗位技能要求库（待建，表格型）,否,
RETR-159,数据分析师与RAG应用在岗位匹配中如何体现？,KC-ROLE-DATA-027,岗位技能卡 KC-ROLE-DATA-027,岗位技能要求库（待建，表格型）,否,
RETR-160,数据结构与算法数据使用边界应如何向用户解释？,KC-ETHICS-002,SKILL-002（数据结构与算法）合规段,隐私与合规边界（归属待定）,否,
RETR-161,模型评估趋势数据解释应如何向用户解释？,KC-TREND-021,SKILL-021（模型评估）趋势段,趋势数据解释（归属待定）,否,
RETR-162,监控与可观测性数据使用边界应如何向用户解释？,KC-ETHICS-039,SKILL-039（监控与可观测性）合规段,隐私与合规边界（归属待定）,否,
RETR-163,项目交付趋势数据解释应如何向用户解释？,KC-TREND-058,SKILL-058（项目交付）趋势段,趋势数据解释（归属待定）,否,
RETR-164,如何判断软件工程等级2，需要哪些证据？,KC-SKILL-007-L2,★ SKILL-007_软件工程.md,技能知识库（已建）,是,
RETR-165,如何判断Excel与BI工具等级4，需要哪些证据？,KC-SKILL-014-L4,★ SKILL-014_Excel与BI工具.md,技能知识库（已建）,是,
RETR-166,如何判断深度学习等级1，需要哪些证据？,KC-SKILL-022-L1,★ SKILL-022_深度学习.md,技能知识库（已建）,是,
RETR-167,如何判断智能体开发等级3，需要哪些证据？,KC-SKILL-029-L3,★ SKILL-029_智能体开发.md,技能知识库（已建）,是,
RETR-168,如何判断Docker容器等级5，需要哪些证据？,KC-SKILL-036-L5,★ SKILL-036_Docker容器.md,技能知识库（已建）,是,
RETR-169,如何判断用户研究等级2，需要哪些证据？,KC-SKILL-044-L2,★ SKILL-044_用户研究.md,技能知识库（已建）,是,
RETR-170,如何判断远程协作等级4，需要哪些证据？,KC-SKILL-051-L4,★ SKILL-051_远程协作.md,技能知识库（已建）,是,
RETR-171,如何判断复盘与反馈等级1，需要哪些证据？,KC-SKILL-059-L1,★ SKILL-059_复盘与反馈.md,技能知识库（已建）,是,
RETR-172,向量数据库课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0028,资源卡 KC-RES-0028,学习资源库（待建，表格型）,否,
RETR-173,计算机网络课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0065,资源卡 KC-RES-0065,学习资源库（待建，表格型）,否,
RETR-174,系统思维课程主题卡（beginner）适合什么水平，预计需要多长时间？,KC-RES-0102,资源卡 KC-RES-0102,学习资源库（待建，表格型）,否,
RETR-175,机器学习实践项目-019适合什么水平，预计需要多长时间？,KC-RES-0139,资源卡 KC-RES-0139,学习资源库（待建，表格型）,否,
RETR-176,知识管理实践项目-056适合什么水平，预计需要多长时间？,KC-RES-0176,资源卡 KC-RES-0176,学习资源库（待建，表格型）,否,
RETR-177,Git版本控制实践项目-093适合什么水平，预计需要多长时间？,KC-RES-0213,资源卡 KC-RES-0213,学习资源库（待建，表格型）,否,
RETR-178,数据清洗实践项目-130适合什么水平，预计需要多长时间？,KC-RES-0250,资源卡 KC-RES-0250,学习资源库（待建，表格型）,否,
RETR-179,创新与方案比较实践项目-167适合什么水平，预计需要多长时间？,KC-RES-0287,资源卡 KC-RES-0287,学习资源库（待建，表格型）,否,
RETR-180,模型调优实践项目-204适合什么水平，预计需要多长时间？,KC-RES-0324,资源卡 KC-RES-0324,学习资源库（待建，表格型）,否,
RETR-181,Python编程实践项目-241适合什么水平，预计需要多长时间？,KC-RES-0361,资源卡 KC-RES-0361,学习资源库（待建，表格型）,否,
RETR-182,云端部署实践项目-278适合什么水平，预计需要多长时间？,KC-RES-0398,资源卡 KC-RES-0398,学习资源库（待建，表格型）,否,
