event_id,user_id,event_type,event_time,skill_id,resource_id,job_id,score_delta,status,sentiment,user_state,risk_level,detail,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
EVT-G001-12,USER-G001,profile_recalculated,2025-04-15T16:00:00Z,SKILL-023,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-13,USER-G001,job_saved,2025-05-02T16:00:00Z,,,JOB-AI-ALG-0013,0,completed,neutral,active,low,收藏一个模拟目标岗位,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-14,USER-G001,application_submitted,2025-05-19T16:00:00Z,,,JOB-AI-ALG-0014,0,completed,neutral,active,low,向模拟岗位提交申请,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-15,USER-G001,interview_result,2025-06-05T16:00:00Z,,,JOB-AI-ALG-0015,0,completed,disappointed,active,low,记录模拟面试反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-16,USER-G001,plan_adjusted,2025-06-22T16:00:00Z,SKILL-017,,,0,completed,neutral,plan_rebalanced,low,根据时间和反馈调整学习计划,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-17,USER-G001,skill_practice,2025-07-09T16:00:00Z,SKILL-020,RES-0133,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-18,USER-G001,inactivity,2025-07-26T16:00:00Z,SKILL-023,,,-4,attention_needed,frustrated,learning_stalled,medium,超过设定周期未产生学习证据，触发技能衰减,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-19,USER-G001,reminder_response,2025-08-12T16:00:00Z,SKILL-033,,,0,completed,neutral,active,low,响应任务提醒并更新完成状态,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-20,USER-G001,profile_recalculated,2025-08-29T16:00:00Z,SKILL-058,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-21,USER-G001,onboarding,2025-09-15T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-22,USER-G001,skill_assessment,2025-10-02T16:00:00Z,SKILL-017,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-23,USER-G001,course_started,2025-10-19T16:00:00Z,SKILL-020,RES-0133,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-24,USER-G001,task_completed,2025-11-05T16:00:00Z,SKILL-023,RES-0005,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-25,USER-G001,skill_practice,2025-11-22T16:00:00Z,SKILL-033,RES-0026,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-26,USER-G001,course_completed,2025-12-09T16:00:00Z,SKILL-058,RES-0001,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-27,USER-G001,project_started,2025-12-26T16:00:00Z,SKILL-002,RES-0122,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-28,USER-G001,job_viewed,2026-01-12T16:00:00Z,,,JOB-AI-ALG-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-29,USER-G001,feedback_submitted,2026-01-29T16:00:00Z,SKILL-020,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-30,USER-G001,task_completed,2026-02-15T16:00:00Z,SKILL-023,RES-0143,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-01,USER-G002,onboarding,2024-10-10T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-02,USER-G002,skill_assessment,2024-10-27T16:00:00Z,SKILL-050,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-03,USER-G002,course_started,2024-11-13T16:00:00Z,SKILL-008,RES-0121,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-04,USER-G002,task_completed,2024-11-30T16:00:00Z,SKILL-026,RES-0006,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-05,USER-G002,skill_practice,2024-12-17T16:00:00Z,SKILL-029,RES-0029,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-06,USER-G002,course_completed,2025-01-03T16:00:00Z,SKILL-035,RES-0028,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-07,USER-G002,project_started,2025-01-20T16:00:00Z,SKILL-038,RES-0031,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-08,USER-G002,job_viewed,2025-02-06T16:00:00Z,,,JOB-AI-APP-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-09,USER-G002,feedback_submitted,2025-02-23T16:00:00Z,SKILL-008,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-10,USER-G002,task_completed,2025-03-12T16:00:00Z,SKILL-026,RES-0006,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-11,USER-G002,project_completed,2025-03-29T16:00:00Z,SKILL-029,RES-0029,,8,completed,positive,progressing,low,完成项目、说明文档和复盘,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-12,USER-G002,profile_recalculated,2025-04-15T16:00:00Z,SKILL-035,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-13,USER-G002,job_saved,2025-05-02T16:00:00Z,,,JOB-AI-APP-0013,0,completed,neutral,active,low,收藏一个模拟目标岗位,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-14,USER-G002,application_submitted,2025-05-19T16:00:00Z,,,JOB-AI-APP-0014,0,completed,neutral,active,low,向模拟岗位提交申请,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-15,USER-G002,interview_result,2025-06-05T16:00:00Z,,,JOB-AI-APP-0015,0,completed,disappointed,active,low,记录模拟面试反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-16,USER-G002,plan_adjusted,2025-06-22T16:00:00Z,SKILL-026,,,0,completed,neutral,plan_rebalanced,low,根据时间和反馈调整学习计划,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-17,USER-G002,skill_practice,2025-07-09T16:00:00Z,SKILL-029,RES-0029,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-18,USER-G002,inactivity,2025-07-26T16:00:00Z,SKILL-035,,,-4,attention_needed,frustrated,learning_stalled,medium,超过设定周期未产生学习证据，触发技能衰减,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-19,USER-G002,reminder_response,2025-08-12T16:00:00Z,SKILL-038,,,0,completed,neutral,active,low,响应任务提醒并更新完成状态,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-20,USER-G002,profile_recalculated,2025-08-29T16:00:00Z,SKILL-050,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-21,USER-G002,onboarding,2025-09-15T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-22,USER-G002,skill_assessment,2025-10-02T16:00:00Z,SKILL-026,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-23,USER-G002,course_started,2025-10-19T16:00:00Z,SKILL-029,RES-0029,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-24,USER-G002,task_completed,2025-11-05T16:00:00Z,SKILL-035,RES-0028,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-25,USER-G002,skill_practice,2025-11-22T16:00:00Z,SKILL-038,RES-0031,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-26,USER-G002,course_completed,2025-12-09T16:00:00Z,SKILL-050,RES-0001,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-27,USER-G002,project_started,2025-12-26T16:00:00Z,SKILL-008,RES-0128,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-28,USER-G002,job_viewed,2026-01-12T16:00:00Z,,,JOB-AI-APP-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-29,USER-G002,feedback_submitted,2026-01-29T16:00:00Z,SKILL-029,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G002-30,USER-G002,task_completed,2026-02-15T16:00:00Z,SKILL-035,RES-0028,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-01,USER-G003,onboarding,2024-10-10T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-02,USER-G003,skill_assessment,2024-10-27T16:00:00Z,SKILL-001,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-03,USER-G003,course_started,2024-11-13T16:00:00Z,SKILL-011,RES-0124,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-04,USER-G003,task_completed,2024-11-30T16:00:00Z,SKILL-014,RES-0134,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-05,USER-G003,skill_practice,2024-12-17T16:00:00Z,SKILL-040,RES-0026,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-06,USER-G003,course_completed,2025-01-03T16:00:00Z,SKILL-044,RES-0001,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-07,USER-G003,project_started,2025-01-20T16:00:00Z,SKILL-048,RES-0001,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-08,USER-G003,job_viewed,2025-02-06T16:00:00Z,,,JOB-DATA-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-09,USER-G003,feedback_submitted,2025-02-23T16:00:00Z,SKILL-011,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-10,USER-G003,task_completed,2025-03-12T16:00:00Z,SKILL-014,RES-0127,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-11,USER-G003,project_completed,2025-03-29T16:00:00Z,SKILL-040,RES-0026,,8,completed,positive,progressing,low,完成项目、说明文档和复盘,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-12,USER-G003,profile_recalculated,2025-04-15T16:00:00Z,SKILL-044,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-13,USER-G003,job_saved,2025-05-02T16:00:00Z,,,JOB-DATA-0013,0,completed,neutral,active,low,收藏一个模拟目标岗位,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-14,USER-G003,application_submitted,2025-05-19T16:00:00Z,,,JOB-DATA-0014,0,completed,neutral,active,low,向模拟岗位提交申请,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-15,USER-G003,interview_result,2025-06-05T16:00:00Z,,,JOB-DATA-0015,0,completed,disappointed,active,low,记录模拟面试反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-16,USER-G003,plan_adjusted,2025-06-22T16:00:00Z,SKILL-014,,,0,completed,neutral,plan_rebalanced,low,根据时间和反馈调整学习计划,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-17,USER-G003,skill_practice,2025-07-09T16:00:00Z,SKILL-040,RES-0026,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-18,USER-G003,inactivity,2025-07-26T16:00:00Z,SKILL-044,,,-4,attention_needed,frustrated,learning_stalled,medium,超过设定周期未产生学习证据，触发技能衰减,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-19,USER-G003,reminder_response,2025-08-12T16:00:00Z,SKILL-048,,,0,completed,neutral,active,low,响应任务提醒并更新完成状态,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-20,USER-G003,profile_recalculated,2025-08-29T16:00:00Z,SKILL-001,,,0,completed,neutral,active,low,根据新证据重算画像与岗位匹配度,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-21,USER-G003,onboarding,2025-09-15T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-22,USER-G003,skill_assessment,2025-10-02T16:00:00Z,SKILL-014,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-23,USER-G003,course_started,2025-10-19T16:00:00Z,SKILL-040,RES-0026,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-24,USER-G003,task_completed,2025-11-05T16:00:00Z,SKILL-044,RES-0001,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-25,USER-G003,skill_practice,2025-11-22T16:00:00Z,SKILL-048,RES-0001,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-26,USER-G003,course_completed,2025-12-09T16:00:00Z,SKILL-001,RES-0421,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-27,USER-G003,project_started,2025-12-26T16:00:00Z,SKILL-011,RES-0131,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-28,USER-G003,job_viewed,2026-01-12T16:00:00Z,,,JOB-DATA-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-29,USER-G003,feedback_submitted,2026-01-29T16:00:00Z,SKILL-040,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G003-30,USER-G003,task_completed,2026-02-15T16:00:00Z,SKILL-044,RES-0001,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-01,USER-G004,onboarding,2024-10-10T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-02,USER-G004,skill_assessment,2024-10-27T16:00:00Z,SKILL-002,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-03,USER-G004,course_started,2024-11-13T16:00:00Z,SKILL-017,RES-0130,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-04,USER-G004,task_completed,2024-11-30T16:00:00Z,SKILL-020,RES-0140,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-05,USER-G004,skill_practice,2024-12-17T16:00:00Z,SKILL-023,RES-0143,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-06,USER-G004,course_completed,2025-01-03T16:00:00Z,SKILL-033,RES-0033,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G004-07,USER-G004,project_started,2025-01-20T16:00:00Z,SKILL-058,RES-0001,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
