文件名,skill_id,技能名,所属领域,技能定义,字符数,来源卡片ID,证据等级,数据切分
SKILL-017_线性代数.md,SKILL-017,线性代数,机器学习与算法,理解向量、矩阵、特征值及其模型应用,548,KC-SKILL-017-L1 / KC-SKILL-017-L2 / KC-SKILL-017-L3 / KC-SKILL-017-L4 / KC-SKILL-017-L5,primary_derived,dev
SKILL-018_微积分与优化.md,SKILL-018,微积分与优化,机器学习与算法,理解梯度、损失函数和常见优化方法,559,KC-SKILL-018-L1 / KC-SKILL-018-L2 / KC-SKILL-018-L3 / KC-SKILL-018-L4 / KC-SKILL-018-L5,primary_derived,dev
SKILL-019_机器学习.md,SKILL-019,机器学习,机器学习与算法,训练和应用常见监督与无监督模型,546,KC-SKILL-019-L1 / KC-SKILL-019-L2 / KC-SKILL-019-L3 / KC-SKILL-019-L4 / KC-SKILL-019-L5,primary_derived,dev
SKILL-020_特征工程.md,SKILL-020,特征工程,机器学习与算法,构造、筛选和验证有效特征,543,KC-SKILL-020-L1 / KC-SKILL-020-L2 / KC-SKILL-020-L3 / KC-SKILL-020-L4 / KC-SKILL-020-L5,primary_derived,dev
SKILL-021_模型评估.md,SKILL-021,模型评估,机器学习与算法,选择指标、交叉验证并分析误差,545,KC-SKILL-021-L1 / KC-SKILL-021-L2 / KC-SKILL-021-L3 / KC-SKILL-021-L4 / KC-SKILL-021-L5,primary_derived,dev
SKILL-022_深度学习.md,SKILL-022,深度学习,机器学习与算法,理解神经网络并使用主流框架训练模型,548,KC-SKILL-022-L1 / KC-SKILL-022-L2 / KC-SKILL-022-L3 / KC-SKILL-022-L4 / KC-SKILL-022-L5,primary_derived,dev
SKILL-023_自然语言处理.md,SKILL-023,自然语言处理,机器学习与算法,处理文本表示、分类、生成和信息抽取任务,562,KC-SKILL-023-L1 / KC-SKILL-023-L2 / KC-SKILL-023-L3 / KC-SKILL-023-L4 / KC-SKILL-023-L5,primary_derived,dev
SKILL-024_模型调优.md,SKILL-024,模型调优,机器学习与算法,调节参数、控制过拟合并复现实验,546,KC-SKILL-024-L1 / KC-SKILL-024-L2 / KC-SKILL-024-L3 / KC-SKILL-024-L4 / KC-SKILL-024-L5,primary_derived,dev
SKILL-025_大模型基础.md,SKILL-025,大模型基础,大模型与AI应用,理解Transformer、上下文、推理和局限,561,KC-SKILL-025-L1 / KC-SKILL-025-L2 / KC-SKILL-025-L3 / KC-SKILL-025-L4 / KC-SKILL-025-L5,primary_derived,dev
SKILL-026_提示词设计.md,SKILL-026,提示词设计,大模型与AI应用,设计结构化提示并迭代评估输出,552,KC-SKILL-026-L1 / KC-SKILL-026-L2 / KC-SKILL-026-L3 / KC-SKILL-026-L4 / KC-SKILL-026-L5,primary_derived,dev
SKILL-027_RAG应用.md,SKILL-027,RAG应用,大模型与AI应用,构建检索增强生成流程并评估检索与回答,556,KC-SKILL-027-L1 / KC-SKILL-027-L2 / KC-SKILL-027-L3 / KC-SKILL-027-L4 / KC-SKILL-027-L5,primary_derived,dev
SKILL-028_向量数据库.md,SKILL-028,向量数据库,大模型与AI应用,管理向量索引、相似度检索和元数据过滤,556,KC-SKILL-028-L1 / KC-SKILL-028-L2 / KC-SKILL-028-L3 / KC-SKILL-028-L4 / KC-SKILL-028-L5,primary_derived,dev
SKILL-029_智能体开发.md,SKILL-029,智能体开发,大模型与AI应用,设计工具调用、记忆、规划和状态管理,555,KC-SKILL-029-L1 / KC-SKILL-029-L2 / KC-SKILL-029-L3 / KC-SKILL-029-L4 / KC-SKILL-029-L5,primary_derived,dev
SKILL-030_MCP与工具调用.md,SKILL-030,MCP与工具调用,大模型与AI应用,定义安全、稳定、可解释的工具接口,572,KC-SKILL-030-L1 / KC-SKILL-030-L2 / KC-SKILL-030-L3 / KC-SKILL-030-L4 / KC-SKILL-030-L5,primary_derived,dev
SKILL-031_模型微调.md,SKILL-031,模型微调,大模型与AI应用,理解数据准备、参数高效微调和评估流程,550,KC-SKILL-031-L1 / KC-SKILL-031-L2 / KC-SKILL-031-L3 / KC-SKILL-031-L4 / KC-SKILL-031-L5,primary_derived,dev
SKILL-032_AI安全与评测.md,SKILL-032,AI安全与评测,大模型与AI应用,识别幻觉、偏见、隐私和越权风险,565,KC-SKILL-032-L1 / KC-SKILL-032-L2 / KC-SKILL-032-L3 / KC-SKILL-032-L4 / KC-SKILL-032-L5,primary_derived,dev
SKILL-033_Git版本控制.md,SKILL-033,Git版本控制,工程部署与工具,使用分支、合并、审查和版本标签协作,566,KC-SKILL-033-L1 / KC-SKILL-033-L2 / KC-SKILL-033-L3 / KC-SKILL-033-L4 / KC-SKILL-033-L5,primary_derived,dev
SKILL-034_API设计.md,SKILL-034,API设计,工程部署与工具,设计清晰、稳定和可校验的服务接口,553,KC-SKILL-034-L1 / KC-SKILL-034-L2 / KC-SKILL-034-L3 / KC-SKILL-034-L4 / KC-SKILL-034-L5,primary_derived,dev
SKILL-035_后端服务开发.md,SKILL-035,后端服务开发,工程部署与工具,实现业务服务、鉴权、存储和错误处理,560,KC-SKILL-035-L1 / KC-SKILL-035-L2 / KC-SKILL-035-L3 / KC-SKILL-035-L4 / KC-SKILL-035-L5,primary_derived,dev
SKILL-036_Docker容器.md,SKILL-036,Docker容器,工程部署与工具,编写镜像并复现运行环境,566,KC-SKILL-036-L1 / KC-SKILL-036-L2 / KC-SKILL-036-L3 / KC-SKILL-036-L4 / KC-SKILL-036-L5,primary_derived,dev
SKILL-037_CICD.md,SKILL-037,CI/CD,工程部署与工具,自动执行构建、测试和发布流程,551,KC-SKILL-037-L1 / KC-SKILL-037-L2 / KC-SKILL-037-L3 / KC-SKILL-037-L4 / KC-SKILL-037-L5,primary_derived,dev
SKILL-038_云端部署.md,SKILL-038,云端部署,工程部署与工具,配置计算、网络、存储和服务发布,546,KC-SKILL-038-L1 / KC-SKILL-038-L2 / KC-SKILL-038-L3 / KC-SKILL-038-L4 / KC-SKILL-038-L5,primary_derived,dev
SKILL-039_监控与可观测性.md,SKILL-039,监控与可观测性,工程部署与工具,使用日志、指标和追踪定位运行问题,565,KC-SKILL-039-L1 / KC-SKILL-039-L2 / KC-SKILL-039-L3 / KC-SKILL-039-L4 / KC-SKILL-039-L5,primary_derived,dev
SKILL-040_数据工程管道.md,SKILL-040,数据工程管道,工程部署与工具,构建稳定的数据采集、转换和调度流程,560,KC-SKILL-040-L1 / KC-SKILL-040-L2 / KC-SKILL-040-L3 / KC-SKILL-040-L4 / KC-SKILL-040-L5,primary_derived,dev
SKILL-041_问题拆解.md,SKILL-041,问题拆解,问题解决与产品思维,把复杂目标拆成可验证的子问题,547,KC-SKILL-041-L1 / KC-SKILL-041-L2 / KC-SKILL-041-L3 / KC-SKILL-041-L4 / KC-SKILL-041-L5,primary_derived,dev
SKILL-042_系统思维.md,SKILL-042,系统思维,问题解决与产品思维,识别组件关系、反馈回路和整体影响,549,KC-SKILL-042-L1 / KC-SKILL-042-L2 / KC-SKILL-042-L3 / KC-SKILL-042-L4 / KC-SKILL-042-L5,primary_derived,dev
SKILL-043_需求分析.md,SKILL-043,需求分析,问题解决与产品思维,澄清用户目标、边界和验收条件,547,KC-SKILL-043-L1 / KC-SKILL-043-L2 / KC-SKILL-043-L3 / KC-SKILL-043-L4 / KC-SKILL-043-L5,primary_derived,dev
SKILL-044_用户研究.md,SKILL-044,用户研究,问题解决与产品思维,通过访谈和测试识别真实需求,546,KC-SKILL-044-L1 / KC-SKILL-044-L2 / KC-SKILL-044-L3 / KC-SKILL-044-L4 / KC-SKILL-044-L5,primary_derived,dev
SKILL-045_指标设计.md,SKILL-045,指标设计,问题解决与产品思维,定义可测量、可解释的业务与产品指标,550,KC-SKILL-045-L1 / KC-SKILL-045-L2 / KC-SKILL-045-L3 / KC-SKILL-045-L4 / KC-SKILL-045-L5,primary_derived,dev
SKILL-046_业务理解.md,SKILL-046,业务理解,问题解决与产品思维,把技术输出转化为业务判断和行动,548,KC-SKILL-046-L1 / KC-SKILL-046-L2 / KC-SKILL-046-L3 / KC-SKILL-046-L4 / KC-SKILL-046-L5,primary_derived,dev
SKILL-047_创新与方案比较.md,SKILL-047,创新与方案比较,问题解决与产品思维,提出多个方案并基于约束选择,564,KC-SKILL-047-L1 / KC-SKILL-047-L2 / KC-SKILL-047-L3 / KC-SKILL-047-L4 / KC-SKILL-047-L5,primary_derived,dev
SKILL-048_书面沟通.md,SKILL-048,书面沟通,沟通协作与职业素养,用清晰结构记录背景、结论和行动,548,KC-SKILL-048-L1 / KC-SKILL-048-L2 / KC-SKILL-048-L3 / KC-SKILL-048-L4 / KC-SKILL-048-L5,primary_derived,dev
SKILL-049_表达与汇报.md,SKILL-049,表达与汇报,沟通协作与职业素养,针对听众准确呈现信息和取舍,552,KC-SKILL-049-L1 / KC-SKILL-049-L2 / KC-SKILL-049-L3 / KC-SKILL-049-L4 / KC-SKILL-049-L5,primary_derived,dev
SKILL-050_跨岗位沟通.md,SKILL-050,跨岗位沟通,沟通协作与职业素养,在技术、产品与业务角色之间对齐理解,556,KC-SKILL-050-L1 / KC-SKILL-050-L2 / KC-SKILL-050-L3 / KC-SKILL-050-L4 / KC-SKILL-050-L5,primary_derived,dev
SKILL-051_远程协作.md,SKILL-051,远程协作,沟通协作与职业素养,异步同步结合管理信息、责任和进度,549,KC-SKILL-051-L1 / KC-SKILL-051-L2 / KC-SKILL-051-L3 / KC-SKILL-051-L4 / KC-SKILL-051-L5,primary_derived,dev
SKILL-052_团队协作.md,SKILL-052,团队协作,沟通协作与职业素养,共享信息、处理分歧并共同交付,547,KC-SKILL-052-L1 / KC-SKILL-052-L2 / KC-SKILL-052-L3 / KC-SKILL-052-L4 / KC-SKILL-052-L5,primary_derived,dev
SKILL-053_时间管理.md,SKILL-053,时间管理,沟通协作与职业素养,按优先级规划和调整个人工作,546,KC-SKILL-053-L1 / KC-SKILL-053-L2 / KC-SKILL-053-L3 / KC-SKILL-053-L4 / KC-SKILL-053-L5,primary_derived,dev
SKILL-054_职业伦理与隐私.md,SKILL-054,职业伦理与隐私,沟通协作与职业素养,遵守最小必要、授权、透明和公平原则,568,KC-SKILL-054-L1 / KC-SKILL-054-L2 / KC-SKILL-054-L3 / KC-SKILL-054-L4 / KC-SKILL-054-L5,primary_derived,dev
SKILL-055_自主学习.md,SKILL-055,自主学习,学习成长与项目实践,设定目标、选择资源并持续推进,547,KC-SKILL-055-L1 / KC-SKILL-055-L2 / KC-SKILL-055-L3 / KC-SKILL-055-L4 / KC-SKILL-055-L5,primary_derived,dev
SKILL-056_知识管理.md,SKILL-056,知识管理,学习成长与项目实践,整理、连接和复用学习成果,545,KC-SKILL-056-L1 / KC-SKILL-056-L2 / KC-SKILL-056-L3 / KC-SKILL-056-L4 / KC-SKILL-056-L5,primary_derived,dev
SKILL-057_项目规划.md,SKILL-057,项目规划,学习成长与项目实践,定义范围、里程碑、风险和资源,547,KC-SKILL-057-L1 / KC-SKILL-057-L2 / KC-SKILL-057-L3 / KC-SKILL-057-L4 / KC-SKILL-057-L5,primary_derived,dev
SKILL-058_项目交付.md,SKILL-058,项目交付,学习成长与项目实践,完成可运行成果、文档和复盘,546,KC-SKILL-058-L1 / KC-SKILL-058-L2 / KC-SKILL-058-L3 / KC-SKILL-058-L4 / KC-SKILL-058-L5,primary_derived,dev
SKILL-059_复盘与反馈.md,SKILL-059,复盘与反馈,学习成长与项目实践,从结果和反馈中调整方法,550,KC-SKILL-059-L1 / KC-SKILL-059-L2 / KC-SKILL-059-L3 / KC-SKILL-059-L4 / KC-SKILL-059-L5,primary_derived,dev
SKILL-060_职业探索.md,SKILL-060,职业探索,学习成长与项目实践,比较岗位、验证兴趣并更新目标,547,KC-SKILL-060-L1 / KC-SKILL-060-L2 / KC-SKILL-060-L3 / KC-SKILL-060-L4 / KC-SKILL-060-L5,primary_derived,dev
