resource_id,title,resource_type,provider,url,difficulty,estimated_hours,prerequisite_score,page_kind,metadata_scope,verified_individual_page,claim_level,summary
RES-0017,走近大模型-九天大模型应用工程介绍,verified_course_metadata,中国移动通信集团有限公司,https://higher.smartedu.cn/course/lmc/67d7d663625fca5f6cf908cf,beginner,12,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0018,国产大模型之腾讯混元大模型应用实战课,verified_course_metadata,深圳市腾讯计算机系统有限公司,https://higher.smartedu.cn/course/lmc/67de729c2f4f1bef26a8089f,intermediate,14,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0019,智能体：大模型产业落地实践,verified_course_metadata,中国电信集团有限公司,https://higher.smartedu.cn/course/lmc/67d7d663625fca5f6cf908ce,intermediate,12,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0020,扣子（Coze）AI智能体与应用搭建实战,verified_course_metadata,北京火山引擎科技有限公司,https://higher.smartedu.cn/course/lmc/67d7cd3c625fca5f6cf90738,beginner,16,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0021,MiniMax多模态大模型基础、应用和实践,verified_course_metadata,上海稀宇极智科技有限公司,https://higher.smartedu.cn/course/lmc/67d7cf98625fca5f6cf9076f,intermediate,12,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0022,星火大模型应用理论与实践,verified_course_metadata,科大讯飞股份有限公司,https://higher.smartedu.cn/course/lmc/69b117ce97716ee3254c48da,intermediate,8,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0023,自然语言处理课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,35,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为自然语言处理整理的学习主题，不对应一门官方课程。
RES-0024,模型调优课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,36,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为模型调优整理的学习主题，不对应一门官方课程。
RES-0025,大模型基础课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,37,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为大模型基础整理的学习主题，不对应一门官方课程。
RES-0026,提示词设计课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,38,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为提示词设计整理的学习主题，不对应一门官方课程。
RES-0027,RAG应用课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,39,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为RAG应用整理的学习主题，不对应一门官方课程。
RES-0028,向量数据库课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,12,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为向量数据库整理的学习主题，不对应一门官方课程。
RES-0029,智能体开发课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,13,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为智能体开发整理的学习主题，不对应一门官方课程。
RES-0030,MCP与工具调用课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,14,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为MCP与工具调用整理的学习主题，不对应一门官方课程。
RES-0031,模型微调课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,15,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为模型微调整理的学习主题，不对应一门官方课程。
RES-0032,AI安全与评测课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,16,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为AI安全与评测整理的学习主题，不对应一门官方课程。
RES-0033,Git版本控制课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,17,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为Git版本控制整理的学习主题，不对应一门官方课程。
RES-0034,API设计课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,18,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为API设计整理的学习主题，不对应一门官方课程。
RES-0035,后端服务开发课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,19,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为后端服务开发整理的学习主题，不对应一门官方课程。
RES-0036,Docker容器课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,20,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为Docker容器整理的学习主题，不对应一门官方课程。
RES-0037,CI/CD课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,21,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为CI/CD整理的学习主题，不对应一门官方课程。
RES-0038,云端部署课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,22,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为云端部署整理的学习主题，不对应一门官方课程。
RES-0039,监控与可观测性课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,23,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为监控与可观测性整理的学习主题，不对应一门官方课程。
RES-0040,数据工程管道课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,24,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为数据工程管道整理的学习主题，不对应一门官方课程。
RES-0041,问题拆解课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,25,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为问题拆解整理的学习主题，不对应一门官方课程。
RES-0042,系统思维课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,26,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为系统思维整理的学习主题，不对应一门官方课程。
RES-0043,需求分析课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,27,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为需求分析整理的学习主题，不对应一门官方课程。
RES-0044,用户研究课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,28,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为用户研究整理的学习主题，不对应一门官方课程。
RES-0045,指标设计课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,29,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为指标设计整理的学习主题，不对应一门官方课程。
RES-0046,业务理解课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,30,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为业务理解整理的学习主题，不对应一门官方课程。
RES-0047,创新与方案比较课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,31,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为创新与方案比较整理的学习主题，不对应一门官方课程。
RES-0048,书面沟通课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,32,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为书面沟通整理的学习主题，不对应一门官方课程。
RES-0049,表达与汇报课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,33,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为表达与汇报整理的学习主题，不对应一门官方课程。
RES-0050,跨岗位沟通课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,34,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为跨岗位沟通整理的学习主题，不对应一门官方课程。
RES-0051,远程协作课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,35,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为远程协作整理的学习主题，不对应一门官方课程。
RES-0052,团队协作课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,36,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为团队协作整理的学习主题，不对应一门官方课程。
RES-0053,时间管理课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,37,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为时间管理整理的学习主题，不对应一门官方课程。
RES-0054,职业伦理与隐私课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,38,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为职业伦理与隐私整理的学习主题，不对应一门官方课程。
RES-0055,自主学习课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,39,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为自主学习整理的学习主题，不对应一门官方课程。
RES-0056,知识管理课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,12,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为知识管理整理的学习主题，不对应一门官方课程。
RES-0057,项目规划课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,13,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为项目规划整理的学习主题，不对应一门官方课程。
RES-0058,项目交付课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,14,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为项目交付整理的学习主题，不对应一门官方课程。
RES-0059,复盘与反馈课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,15,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为复盘与反馈整理的学习主题，不对应一门官方课程。
RES-0060,职业探索课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,16,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为职业探索整理的学习主题，不对应一门官方课程。
RES-0061,Python编程课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,17,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为Python编程整理的学习主题，不对应一门官方课程。
RES-0062,数据结构与算法课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,18,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为数据结构与算法整理的学习主题，不对应一门官方课程。
RES-0063,面向对象设计课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,19,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为面向对象设计整理的学习主题，不对应一门官方课程。
RES-0064,计算机系统基础课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,20,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为计算机系统基础整理的学习主题，不对应一门官方课程。
RES-0065,计算机网络课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,21,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为计算机网络整理的学习主题，不对应一门官方课程。
RES-0066,Linux使用课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,22,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为Linux使用整理的学习主题，不对应一门官方课程。
RES-0067,软件工程课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,23,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为软件工程整理的学习主题，不对应一门官方课程。
RES-0068,测试与调试课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,24,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为测试与调试整理的学习主题，不对应一门官方课程。
RES-0069,SQL课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,25,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为SQL整理的学习主题，不对应一门官方课程。
RES-0070,数据清洗课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,26,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为数据清洗整理的学习主题，不对应一门官方课程。
RES-0071,统计学基础课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,27,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为统计学基础整理的学习主题，不对应一门官方课程。
RES-0072,探索性数据分析课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,28,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为探索性数据分析整理的学习主题，不对应一门官方课程。
RES-0073,数据可视化课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,29,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为数据可视化整理的学习主题，不对应一门官方课程。
RES-0074,Excel与BI工具课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,30,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为Excel与BI工具整理的学习主题，不对应一门官方课程。
RES-0075,数据建模课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,31,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为数据建模整理的学习主题，不对应一门官方课程。
RES-0076,实验与A/B测试课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,32,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为实验与A/B测试整理的学习主题，不对应一门官方课程。
RES-0077,线性代数课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,33,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为线性代数整理的学习主题，不对应一门官方课程。
RES-0078,微积分与优化课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,34,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为微积分与优化整理的学习主题，不对应一门官方课程。
RES-0079,机器学习课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,35,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为机器学习整理的学习主题，不对应一门官方课程。
RES-0080,特征工程课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,36,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为特征工程整理的学习主题，不对应一门官方课程。
RES-0081,模型评估课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,37,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为模型评估整理的学习主题，不对应一门官方课程。
RES-0082,深度学习课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,38,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为深度学习整理的学习主题，不对应一门官方课程。
RES-0083,自然语言处理课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,39,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为自然语言处理整理的学习主题，不对应一门官方课程。
RES-0084,模型调优课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,12,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为模型调优整理的学习主题，不对应一门官方课程。
RES-0085,大模型基础课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,13,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为大模型基础整理的学习主题，不对应一门官方课程。
RES-0086,提示词设计课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,14,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为提示词设计整理的学习主题，不对应一门官方课程。
RES-0087,RAG应用课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,15,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为RAG应用整理的学习主题，不对应一门官方课程。
RES-0088,向量数据库课程主题卡（intermediate）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,intermediate,16,50,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为向量数据库整理的学习主题，不对应一门官方课程。
RES-0089,智能体开发课程主题卡（advanced）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,advanced,17,70,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为智能体开发整理的学习主题，不对应一门官方课程。
RES-0090,MCP与工具调用课程主题卡（beginner）,public_catalog_topic_card,参赛团队（基于国家高等教育智慧教育平台目录派生）,https://higher.smartedu.cn/ai2026,beginner,18,20,derived_topic_card,参赛团队基于公开目录派生,False,primary_derived,参赛团队根据公开目录为MCP与工具调用整理的学习主题，不对应一门官方课程。
