case_id,维度,query,期望文档,期望等级,th0.3_命中@1,th0.3_命中@5,th0.3_Top1文档,th0.3_Top1匹配度,th0.3_Top5条数,th0.5_命中@1,th0.5_命中@5,th0.5_Top1文档,th0.5_Top1匹配度,th0.5_Top5条数,th0.6_命中@1,th0.6_命中@5,th0.6_Top1文档,th0.6_Top1匹配度,th0.6_Top5条数
RETR-134,,如何判断大模型基础等级2，需要哪些证据？,SKILL-025_大模型基础.md,L2,1,1,SKILL-025_大模型基础,0.81,5,1,1,SKILL-025_大模型基础,0.81,5,1,1,SKILL-025_大模型基础,0.81,5
RETR-135,,如何判断AI安全与评测等级4，需要哪些证据？,SKILL-032_AI安全与评测.md,L4,1,1,SKILL-032_AI安全与评测,0.84,5,1,1,SKILL-032_AI安全与评测,0.84,5,1,1,SKILL-032_AI安全与评测,0.84,5
RETR-136,,如何判断数据工程管道等级1，需要哪些证据？,SKILL-040_数据工程管道.md,L1,1,1,SKILL-040_数据工程管道,0.86,5,1,1,SKILL-040_数据工程管道,0.86,5,1,1,SKILL-040_数据工程管道,0.86,5
RETR-137,,如何判断创新与方案比较等级3，需要哪些证据？,SKILL-047_创新与方案比较.md,L3,1,1,SKILL-047_创新与方案比较,0.82,5,1,1,SKILL-047_创新与方案比较,0.82,5,1,1,SKILL-047_创新与方案比较,0.82,2
RETR-138,,如何判断职业伦理与隐私等级5，需要哪些证据？,SKILL-054_职业伦理与隐私.md,L5,1,1,SKILL-054_职业伦理与隐私,0.89,5,1,1,SKILL-054_职业伦理与隐私,0.89,5,1,1,SKILL-054_职业伦理与隐私,0.89,5
RETR-164,,如何判断软件工程等级2，需要哪些证据？,SKILL-007_软件工程.md,L2,1,1,SKILL-007_软件工程,0.86,5,1,1,SKILL-007_软件工程,0.86,5,1,1,SKILL-007_软件工程,0.86,5
RETR-165,,如何判断Excel与BI工具等级4，需要哪些证据？,SKILL-014_Excel与BI工具.md,L4,1,1,SKILL-014_Excel与BI工具,0.88,5,1,1,SKILL-014_Excel与BI工具,0.88,5,1,1,SKILL-014_Excel与BI工具,0.88,5
RETR-166,,如何判断深度学习等级1，需要哪些证据？,SKILL-022_深度学习.md,L1,1,1,SKILL-022_深度学习,0.82,5,1,1,SKILL-022_深度学习,0.82,5,1,1,SKILL-022_深度学习,0.82,2
RETR-167,,如何判断智能体开发等级3，需要哪些证据？,SKILL-029_智能体开发.md,L3,1,1,SKILL-029_智能体开发,0.87,5,1,1,SKILL-029_智能体开发,0.87,5,1,1,SKILL-029_智能体开发,0.87,3
RETR-168,,如何判断Docker容器等级5，需要哪些证据？,SKILL-036_Docker容器.md,L5,1,1,SKILL-036_Docker容器,0.86,5,1,1,SKILL-036_Docker容器,0.86,5,1,1,SKILL-036_Docker容器,0.86,2
RETR-169,,如何判断用户研究等级2，需要哪些证据？,SKILL-044_用户研究.md,L2,1,1,SKILL-044_用户研究,0.85,5,1,1,SKILL-044_用户研究,0.85,5,1,1,SKILL-044_用户研究,0.85,3
RETR-170,,如何判断远程协作等级4，需要哪些证据？,SKILL-051_远程协作.md,L4,1,1,SKILL-051_远程协作,0.85,5,1,1,SKILL-051_远程协作,0.85,5,1,1,SKILL-051_远程协作,0.85,5
RETR-171,,如何判断复盘与反馈等级1，需要哪些证据？,SKILL-059_复盘与反馈.md,L1,1,1,SKILL-059_复盘与反馈,0.87,5,1,1,SKILL-059_复盘与反馈,0.87,5,1,1,SKILL-059_复盘与反馈,0.87,4
RETR-196,,如何判断计算机系统基础等级1，需要哪些证据？,SKILL-004_计算机系统基础.md,L1,1,1,SKILL-004_计算机系统基础,0.91,5,1,1,SKILL-004_计算机系统基础,0.91,5,1,1,SKILL-004_计算机系统基础,0.91,5
RETR-197,,如何判断统计学基础等级3，需要哪些证据？,SKILL-011_统计学基础.md,L3,1,1,SKILL-011_统计学基础,0.89,5,1,1,SKILL-011_统计学基础,0.89,5,1,1,SKILL-011_统计学基础,0.89,4
RETR-198,,如何判断微积分与优化等级5，需要哪些证据？,SKILL-018_微积分与优化.md,L5,1,1,SKILL-018_微积分与优化,0.89,5,1,1,SKILL-018_微积分与优化,0.89,5,1,1,SKILL-018_微积分与优化,0.89,4
RETR-199,,如何判断提示词设计等级2，需要哪些证据？,SKILL-026_提示词设计.md,L2,1,1,SKILL-026_提示词设计,0.88,5,1,1,SKILL-026_提示词设计,0.88,5,1,1,SKILL-026_提示词设计,0.88,2
RETR-200,,如何判断Git版本控制等级4，需要哪些证据？,SKILL-033_Git版本控制.md,L4,1,1,SKILL-033_Git版本控制,0.89,5,1,1,SKILL-033_Git版本控制,0.89,5,1,1,SKILL-033_Git版本控制,0.89,3
