case_id,query,期望文档,期望等级,期望卡片ID,检索_Top1文档,检索_Top1匹配度,检索_Top5期望项最高排名,检索_Top5同源条数,检索_命中@1,检索_命中@5,答案_引用等级是否正确,答案_引用ID是否命中期望,答案_Top1可回答性,备注
RETR-132,如何判断数据清洗等级3，需要哪些证据？,SKILL-010_数据清洗.md,L3,KC-SKILL-010-L3,SKILL-010_数据清洗,0.8,1,1,1,1,,,,第二层：去模板版
RETR-133,如何判断线性代数等级5，需要哪些证据？,SKILL-017_线性代数.md,L5,KC-SKILL-017-L5,SKILL-017_线性代数,0.86,1,3,1,1,,,,第二层：去模板版
RETR-134,如何判断大模型基础等级2，需要哪些证据？,SKILL-025_大模型基础.md,L2,KC-SKILL-025-L2,SKILL-025_大模型基础,0.81,1,1,1,1,,,,第二层：去模板版
RETR-135,如何判断AI安全与评测等级4，需要哪些证据？,SKILL-032_AI安全与评测.md,L4,KC-SKILL-032-L4,SKILL-032_AI安全与评测,0.85,1,1,1,1,,,,第二层：去模板版
RETR-136,如何判断数据工程管道等级1，需要哪些证据？,SKILL-040_数据工程管道.md,L1,KC-SKILL-040-L1,SKILL-040_数据工程管道,0.86,1,1,1,1,,,,第二层：去模板版
RETR-137,如何判断创新与方案比较等级3，需要哪些证据？,SKILL-047_创新与方案比较.md,L3,KC-SKILL-047-L3,SKILL-027_RAG应用,0.55,未命中,0,0,0,,,,第二层：去模板版
RETR-138,如何判断职业伦理与隐私等级5，需要哪些证据？,SKILL-054_职业伦理与隐私.md,L5,KC-SKILL-054-L5,SKILL-032_AI安全与评测,0.74,未命中,0,0,0,,,,第二层：去模板版
RETR-164,如何判断软件工程等级2，需要哪些证据？,SKILL-007_软件工程.md,L2,KC-SKILL-007-L2,SKILL-007_软件工程,0.86,1,1,1,1,,,,第二层：去模板版
RETR-165,如何判断Excel与BI工具等级4，需要哪些证据？,SKILL-014_Excel与BI工具.md,L4,KC-SKILL-014-L4,SKILL-014_Excel与BI工具,0.89,1,3,1,1,,,,第二层：去模板版
RETR-166,如何判断深度学习等级1，需要哪些证据？,SKILL-022_深度学习.md,L1,KC-SKILL-022-L1,SKILL-022_深度学习,0.83,1,1,1,1,,,,第二层：去模板版
RETR-167,如何判断智能体开发等级3，需要哪些证据？,SKILL-029_智能体开发.md,L3,KC-SKILL-029-L3,SKILL-029_智能体开发,0.87,1,1,1,1,,,,第二层：去模板版
RETR-168,如何判断Docker容器等级5，需要哪些证据？,SKILL-036_Docker容器.md,L5,KC-SKILL-036-L5,SKILL-036_Docker容器,0.86,1,1,1,1,,,,第二层：去模板版
RETR-169,如何判断用户研究等级2，需要哪些证据？,SKILL-044_用户研究.md,L2,KC-SKILL-044-L2,SKILL-027_RAG应用,0.58,未命中,0,0,0,,,,第二层：去模板版
RETR-170,如何判断远程协作等级4，需要哪些证据？,SKILL-051_远程协作.md,L4,KC-SKILL-051-L4,SKILL-033_Git版本控制,0.68,未命中,0,0,0,,,,第二层：去模板版
RETR-171,如何判断复盘与反馈等级1，需要哪些证据？,SKILL-059_复盘与反馈.md,L1,KC-SKILL-059-L1,SKILL-021_模型评估,0.58,未命中,0,0,0,,,,第二层：去模板版
RETR-196,如何判断计算机系统基础等级1，需要哪些证据？,SKILL-004_计算机系统基础.md,L1,KC-SKILL-004-L1,SKILL-004_计算机系统基础,0.92,1,1,1,1,,,,第二层：去模板版
RETR-197,如何判断统计学基础等级3，需要哪些证据？,SKILL-011_统计学基础.md,L3,KC-SKILL-011-L3,SKILL-011_统计学基础,0.9,1,3,1,1,,,,第二层：去模板版
RETR-198,如何判断微积分与优化等级5，需要哪些证据？,SKILL-018_微积分与优化.md,L5,KC-SKILL-018-L5,SKILL-018_微积分与优化,0.89,1,3,1,1,,,,第二层：去模板版
RETR-199,如何判断提示词设计等级2，需要哪些证据？,SKILL-026_提示词设计.md,L2,KC-SKILL-026-L2,SKILL-026_提示词设计,0.88,1,1,1,1,,,,第二层：去模板版
RETR-200,如何判断Git版本控制等级4，需要哪些证据？,SKILL-033_Git版本控制.md,L4,KC-SKILL-033-L4,SKILL-033_Git版本控制,0.89,1,1,1,1,,,,第二层：去模板版
