table_name,table_description,module_owner,field_name,data_type,required,primary_key,description,example
users,高校生与职场新人模拟画像,全模块,academic_or_job_status,string,true,false,academic or job status,本科大三
users,高校生与职场新人模拟画像,全模块,experience_months,integer,true,false,experience months,8
users,高校生与职场新人模拟画像,全模块,weekly_learning_hours,integer,true,false,weekly learning hours,12
users,高校生与职场新人模拟画像,全模块,target_role_id,string,true,false,target role id,ROLE-AI-ALG
users,高校生与职场新人模拟画像,全模块,secondary_role_id,string,true,false,secondary role id,ROLE-DATA
users,高校生与职场新人模拟画像,全模块,preferred_city,string,true,false,preferred city,武汉
users,高校生与职场新人模拟画像,全模块,preferred_work_mode,string,true,false,preferred work mode,hybrid
users,高校生与职场新人模拟画像,全模块,career_goal,string,true,false,career goal,在3至5年内成长为能够独立交付项目的AI算法工程师
users,高校生与职场新人模拟画像,全模块,current_challenge,string,true,false,current challenge,机器学习基础较好，但缺少完整算法项目
users,高校生与职场新人模拟画像,全模块,consent_status,string,true,false,consent status,granted_for_demo
users,高校生与职场新人模拟画像,全模块,data_retention_days,integer,true,false,data retention days,365
users,高校生与职场新人模拟画像,全模块,created_at,datetime,true,false,created at,2025-10-11T16:00:00Z
users,高校生与职场新人模拟画像,全模块,schema_version,string,true,false,数据契约版本,1.2.0
users,高校生与职场新人模拟画像,全模块,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,synthetic
users,高校生与职场新人模拟画像,全模块,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
users,高校生与职场新人模拟画像,全模块,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SYNTH
users,高校生与职场新人模拟画像,全模块,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
users,高校生与职场新人模拟画像,全模块,confidence,number,true,false,记录可信度，0至1,0.98
users,高校生与职场新人模拟画像,全模块,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,synthetic
users,高校生与职场新人模拟画像,全模块,verification_status,string,true,false,来源核验状态,not_applicable
users,高校生与职场新人模拟画像,全模块,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
users,高校生与职场新人模拟画像,全模块,license_scope,string,true,false,许可或可重用范围,team_generated
users,高校生与职场新人模拟画像,全模块,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
users,高校生与职场新人模拟画像,全模块,data_split,string,true,false,数据用途划分：golden、dev或test,golden
user_skill_evidence,能力证据及可信度,画像/解释,evidence_id,string,true,true,evidence id,EVID-G001-001
user_skill_evidence,能力证据及可信度,画像/解释,user_id,string,true,false,稳定的匿名模拟用户ID,USER-G001
user_skill_evidence,能力证据及可信度,画像/解释,skill_id,string,true,false,原子技能ID,SKILL-001
user_skill_evidence,能力证据及可信度,画像/解释,evidence_type,string,true,false,evidence type,verified_project
user_skill_evidence,能力证据及可信度,画像/解释,observed_score,integer,true,false,证据产生时的能力观察分,90
user_skill_evidence,能力证据及可信度,画像/解释,evidence_weight,number,true,false,evidence weight,0.9
user_skill_evidence,能力证据及可信度,画像/解释,evidence_confidence,number,true,false,evidence confidence,0.9
user_skill_evidence,能力证据及可信度,画像/解释,occurred_at,datetime,true,false,occurred at,2026-07-03T16:00:00Z
user_skill_evidence,能力证据及可信度,画像/解释,verified,boolean,true,false,verified,true
user_skill_evidence,能力证据及可信度,画像/解释,evidence_title,string,true,false,evidence title,Python编程项目成果
user_skill_evidence,能力证据及可信度,画像/解释,schema_version,string,true,false,数据契约版本,1.2.0
user_skill_evidence,能力证据及可信度,画像/解释,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,synthetic
user_skill_evidence,能力证据及可信度,画像/解释,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
user_skill_evidence,能力证据及可信度,画像/解释,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SYNTH
user_skill_evidence,能力证据及可信度,画像/解释,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
user_skill_evidence,能力证据及可信度,画像/解释,confidence,number,true,false,记录可信度，0至1,0.9
user_skill_evidence,能力证据及可信度,画像/解释,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,synthetic
user_skill_evidence,能力证据及可信度,画像/解释,verification_status,string,true,false,来源核验状态,not_applicable
user_skill_evidence,能力证据及可信度,画像/解释,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
user_skill_evidence,能力证据及可信度,画像/解释,license_scope,string,true,false,许可或可重用范围,team_generated
user_skill_evidence,能力证据及可信度,画像/解释,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
user_skill_evidence,能力证据及可信度,画像/解释,data_split,string,true,false,数据用途划分：golden、dev或test,golden
user_skill_scores,时间衰减后的当前能力分,画像/匹配,user_skill_score_id,string,true,true,user skill score id,USS-G001-001
user_skill_scores,时间衰减后的当前能力分,画像/匹配,user_id,string,true,false,稳定的匿名模拟用户ID,USER-G001
user_skill_scores,时间衰减后的当前能力分,画像/匹配,skill_id,string,true,false,原子技能ID,SKILL-001
user_skill_scores,时间衰减后的当前能力分,画像/匹配,current_score,number,true,false,应用时间衰减后的当前能力分,79.9
user_skill_scores,时间衰减后的当前能力分,画像/匹配,observed_score,integer,true,false,证据产生时的能力观察分,90
user_skill_scores,时间衰减后的当前能力分,画像/匹配,evidence_age_days,integer,true,false,evidence age days,63
user_skill_scores,时间衰减后的当前能力分,画像/匹配,half_life_days,integer,true,false,half life days,365
user_skill_scores,时间衰减后的当前能力分,画像/匹配,decay_factor,number,true,false,decay factor,0.8872
user_skill_scores,时间衰减后的当前能力分,画像/匹配,calculation_note,string,true,false,calculation note,current_score=observed_score*2^(-evidence_age_days/half_life_days)
user_skill_scores,时间衰减后的当前能力分,画像/匹配,last_evidence_id,string,true,false,last evidence id,EVID-G001-001
user_skill_scores,时间衰减后的当前能力分,画像/匹配,last_updated_at,datetime,true,false,last updated at,2026-09-13T00:00:00+08:00
user_skill_scores,时间衰减后的当前能力分,画像/匹配,schema_version,string,true,false,数据契约版本,1.2.0
user_skill_scores,时间衰减后的当前能力分,画像/匹配,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
user_skill_scores,时间衰减后的当前能力分,画像/匹配,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
user_skill_scores,时间衰减后的当前能力分,画像/匹配,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SYNTH
user_skill_scores,时间衰减后的当前能力分,画像/匹配,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
user_skill_scores,时间衰减后的当前能力分,画像/匹配,confidence,number,true,false,记录可信度，0至1,0.9
user_skill_scores,时间衰减后的当前能力分,画像/匹配,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
user_skill_scores,时间衰减后的当前能力分,画像/匹配,verification_status,string,true,false,来源核验状态,derived
user_skill_scores,时间衰减后的当前能力分,画像/匹配,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
user_skill_scores,时间衰减后的当前能力分,画像/匹配,license_scope,string,true,false,许可或可重用范围,team_generated
user_skill_scores,时间衰减后的当前能力分,画像/匹配,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
user_skill_scores,时间衰减后的当前能力分,画像/匹配,data_split,string,true,false,数据用途划分：golden、dev或test,golden
jobs,虚构企业模拟岗位,匹配/MCP,job_id,string,true,true,模拟岗位ID,JOB-AI-ALG-0001
jobs,虚构企业模拟岗位,匹配/MCP,role_id,string,true,false,目标岗位ID,ROLE-AI-ALG
jobs,虚构企业模拟岗位,匹配/MCP,title,string,true,false,title,AI算法工程师（实习/校招）
jobs,虚构企业模拟岗位,匹配/MCP,company_code,string,true,false,company code,模拟企业-008
jobs,虚构企业模拟岗位,匹配/MCP,industry,string,true,false,industry,智能制造
jobs,虚构企业模拟岗位,匹配/MCP,city,string,true,false,city,上海
jobs,虚构企业模拟岗位,匹配/MCP,work_mode,string,true,false,work mode,hybrid
jobs,虚构企业模拟岗位,匹配/MCP,experience_level,string,true,false,experience level,campus
jobs,虚构企业模拟岗位,匹配/MCP,required_experience_months,integer,true,false,required experience months,0
jobs,虚构企业模拟岗位,匹配/MCP,education_level,string,true,false,education level,bachelor_or_equivalent
jobs,虚构企业模拟岗位,匹配/MCP,employment_type,string,true,false,employment type,full_time
jobs,虚构企业模拟岗位,匹配/MCP,salary_min_cny_month,integer,true,false,salary min cny month,12000
jobs,虚构企业模拟岗位,匹配/MCP,salary_max_cny_month,integer,true,false,salary max cny month,16000
jobs,虚构企业模拟岗位,匹配/MCP,salary_is_simulated,boolean,true,false,salary is simulated,true
jobs,虚构企业模拟岗位,匹配/MCP,summary,string,true,false,summary,参与AI算法工程师相关项目，重点使用数据结构与算法、数据清洗、统计学基础、线性代数、微积分与优化、机器学习；岗位、企业和薪资均为演示数据。
jobs,虚构企业模拟岗位,匹配/MCP,posted_at,date,true,false,posted at,2026-09-02
jobs,虚构企业模拟岗位,匹配/MCP,expires_at,date,true,false,expires at,2026-11-01
jobs,虚构企业模拟岗位,匹配/MCP,display_disclaimer,string,true,false,display disclaimer,模拟岗位/演示数据，不代表真实招聘机会
jobs,虚构企业模拟岗位,匹配/MCP,schema_version,string,true,false,数据契约版本,1.2.0
jobs,虚构企业模拟岗位,匹配/MCP,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,synthetic
jobs,虚构企业模拟岗位,匹配/MCP,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
jobs,虚构企业模拟岗位,匹配/MCP,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-ONET|SRC-ESCO|SRC-SYNTH
jobs,虚构企业模拟岗位,匹配/MCP,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
jobs,虚构企业模拟岗位,匹配/MCP,confidence,number,true,false,记录可信度，0至1,0.88
jobs,虚构企业模拟岗位,匹配/MCP,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,synthetic
jobs,虚构企业模拟岗位,匹配/MCP,verification_status,string,true,false,来源核验状态,not_applicable
jobs,虚构企业模拟岗位,匹配/MCP,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
jobs,虚构企业模拟岗位,匹配/MCP,license_scope,string,true,false,许可或可重用范围,cc_by_4_0_attribution
jobs,虚构企业模拟岗位,匹配/MCP,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
jobs,虚构企业模拟岗位,匹配/MCP,data_split,string,true,false,数据用途划分：golden、dev或test,dev
job_skills,岗位级技能要求,匹配,job_skill_id,string,true,true,job skill id,JOB-AI-ALG-0001-SKILL-002
job_skills,岗位级技能要求,匹配,job_id,string,true,false,模拟岗位ID,JOB-AI-ALG-0001
job_skills,岗位级技能要求,匹配,skill_id,string,true,false,原子技能ID,SKILL-002
job_skills,岗位级技能要求,匹配,required_score,integer,true,false,required score,72
job_skills,岗位级技能要求,匹配,importance_weight,number,true,false,importance weight,0.076923
job_skills,岗位级技能要求,匹配,requirement_type,string,true,false,requirement type,required
job_skills,岗位级技能要求,匹配,schema_version,string,true,false,数据契约版本,1.2.0
job_skills,岗位级技能要求,匹配,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,synthetic
job_skills,岗位级技能要求,匹配,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
job_skills,岗位级技能要求,匹配,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SYNTH
job_skills,岗位级技能要求,匹配,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
job_skills,岗位级技能要求,匹配,confidence,number,true,false,记录可信度，0至1,0.88
job_skills,岗位级技能要求,匹配,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,synthetic
job_skills,岗位级技能要求,匹配,verification_status,string,true,false,来源核验状态,not_applicable
job_skills,岗位级技能要求,匹配,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
job_skills,岗位级技能要求,匹配,license_scope,string,true,false,许可或可重用范围,team_generated
job_skills,岗位级技能要求,匹配,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
job_skills,岗位级技能要求,匹配,data_split,string,true,false,数据用途划分：golden、dev或test,dev
learning_resources,课程、项目、测评和指南,路径/MCP,resource_id,string,true,true,学习资源ID,RES-0001
learning_resources,课程、项目、测评和指南,路径/MCP,resource_type,string,true,false,resource type,verified_course_metadata
learning_resources,课程、项目、测评和指南,路径/MCP,title,string,true,false,title,人工智能导论
learning_resources,课程、项目、测评和指南,路径/MCP,provider,string,true,false,provider,西安电子科技大学 / 中国大学MOOC
learning_resources,课程、项目、测评和指南,路径/MCP,url,string,false,false,公开来源URL；模拟内部资源为空,https://higher.smartedu.cn/course/66ca648c711dc30c3464e7e0
learning_resources,课程、项目、测评和指南,路径/MCP,difficulty,string,true,false,difficulty,beginner
learning_resources,课程、项目、测评和指南,路径/MCP,estimated_hours,integer,true,false,estimated hours,36
learning_resources,课程、项目、测评和指南,路径/MCP,cost_type,string,true,false,cost type,free_or_demo
learning_resources,课程、项目、测评和指南,路径/MCP,language,string,true,false,language,zh-CN
learning_resources,课程、项目、测评和指南,路径/MCP,prerequisite_score,integer,true,false,prerequisite score,20
learning_resources,课程、项目、测评和指南,路径/MCP,verified_individual_page,boolean,true,false,verified individual page,true
learning_resources,课程、项目、测评和指南,路径/MCP,page_kind,string,true,false,page kind,course
learning_resources,课程、项目、测评和指南,路径/MCP,metadata_scope,string,true,false,metadata scope,标题、提供方、链接和页面类型
learning_resources,课程、项目、测评和指南,路径/MCP,estimated_hours_is_simulated,boolean,true,false,estimated hours is simulated,true
learning_resources,课程、项目、测评和指南,路径/MCP,summary,string,true,false,summary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
learning_resources,课程、项目、测评和指南,路径/MCP,schema_version,string,true,false,数据契约版本,1.2.0
learning_resources,课程、项目、测评和指南,路径/MCP,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,public_metadata
learning_resources,课程、项目、测评和指南,路径/MCP,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,false
learning_resources,课程、项目、测评和指南,路径/MCP,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SMARTEDU
learning_resources,课程、项目、测评和指南,路径/MCP,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
learning_resources,课程、项目、测评和指南,路径/MCP,confidence,number,true,false,记录可信度，0至1,0.97
learning_resources,课程、项目、测评和指南,路径/MCP,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,verified_primary
learning_resources,课程、项目、测评和指南,路径/MCP,verification_status,string,true,false,来源核验状态,verified
learning_resources,课程、项目、测评和指南,路径/MCP,last_verified_at,date,false,false,外部元数据最近核验日期；不适用时为空,2026-09-05
learning_resources,课程、项目、测评和指南,路径/MCP,license_scope,string,true,false,许可或可重用范围,metadata_only
learning_resources,课程、项目、测评和指南,路径/MCP,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
learning_resources,课程、项目、测评和指南,路径/MCP,data_split,string,true,false,数据用途划分：golden、dev或test,dev
resource_skills,学习资源与技能映射,路径,resource_skill_id,string,true,true,resource skill id,RES-0001-SKILL-002
resource_skills,学习资源与技能映射,路径,resource_id,string,true,false,学习资源ID,RES-0001
resource_skills,学习资源与技能映射,路径,skill_id,string,true,false,原子技能ID,SKILL-002
resource_skills,学习资源与技能映射,路径,coverage_weight,number,true,false,coverage weight,0.3333
resource_skills,学习资源与技能映射,路径,expected_score_gain,integer,true,false,expected score gain,3
resource_skills,学习资源与技能映射,路径,schema_version,string,true,false,数据契约版本,1.2.0
resource_skills,学习资源与技能映射,路径,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
resource_skills,学习资源与技能映射,路径,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
resource_skills,学习资源与技能映射,路径,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SMARTEDU
resource_skills,学习资源与技能映射,路径,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
resource_skills,学习资源与技能映射,路径,confidence,number,true,false,记录可信度，0至1,0.84
resource_skills,学习资源与技能映射,路径,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
resource_skills,学习资源与技能映射,路径,verification_status,string,true,false,来源核验状态,derived
resource_skills,学习资源与技能映射,路径,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
resource_skills,学习资源与技能映射,路径,license_scope,string,true,false,许可或可重用范围,reference_only
resource_skills,学习资源与技能映射,路径,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
resource_skills,学习资源与技能映射,路径,data_split,string,true,false,数据用途划分：golden、dev或test,dev
growth_events,用户学习、求职和反馈事件,画像/对话,event_id,string,true,true,event id,EVT-G001-01
growth_events,用户学习、求职和反馈事件,画像/对话,user_id,string,true,false,稳定的匿名模拟用户ID,USER-G001
growth_events,用户学习、求职和反馈事件,画像/对话,event_type,string,true,false,event type,onboarding
growth_events,用户学习、求职和反馈事件,画像/对话,event_time,datetime,true,false,event time,2024-10-10T16:00:00Z
growth_events,用户学习、求职和反馈事件,画像/对话,skill_id,string,false,false,原子技能ID,SKILL-058
growth_events,用户学习、求职和反馈事件,画像/对话,resource_id,string,false,false,学习资源ID,RES-0055
growth_events,用户学习、求职和反馈事件,画像/对话,job_id,string,false,false,模拟岗位ID,JOB-AI-ALG-0087
growth_events,用户学习、求职和反馈事件,画像/对话,score_delta,integer,true,false,score delta,0
growth_events,用户学习、求职和反馈事件,画像/对话,status,string,true,false,status,completed
growth_events,用户学习、求职和反馈事件,画像/对话,sentiment,string,true,false,sentiment,neutral
growth_events,用户学习、求职和反馈事件,画像/对话,user_state,string,true,false,user state,active
growth_events,用户学习、求职和反馈事件,画像/对话,risk_level,string,true,false,risk level,low
growth_events,用户学习、求职和反馈事件,画像/对话,detail,string,true,false,detail,完成基础信息和学习约束录入
growth_events,用户学习、求职和反馈事件,画像/对话,schema_version,string,true,false,数据契约版本,1.2.0
growth_events,用户学习、求职和反馈事件,画像/对话,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,synthetic
growth_events,用户学习、求职和反馈事件,画像/对话,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,true
growth_events,用户学习、求职和反馈事件,画像/对话,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-SYNTH
growth_events,用户学习、求职和反馈事件,画像/对话,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
growth_events,用户学习、求职和反馈事件,画像/对话,confidence,number,true,false,记录可信度，0至1,0.9
growth_events,用户学习、求职和反馈事件,画像/对话,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,synthetic
growth_events,用户学习、求职和反馈事件,画像/对话,verification_status,string,true,false,来源核验状态,not_applicable
growth_events,用户学习、求职和反馈事件,画像/对话,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
growth_events,用户学习、求职和反馈事件,画像/对话,license_scope,string,true,false,许可或可重用范围,team_generated
growth_events,用户学习、求职和反馈事件,画像/对话,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
