skill_id,skill_key,name,dimension_id,dimension_name,definition,score_min,score_max,half_life_days,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
SKILL-014,excel_bi,Excel与BI工具,DIM-02,数据处理与分析,使用电子表格和BI工具完成分析与报告,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-015,data_modeling,数据建模,DIM-02,数据处理与分析,设计指标口径、事实表和维度关系,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-016,ab_testing,实验与A/B测试,DIM-02,数据处理与分析,设计实验、分析显著性并解释业务影响,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-017,linear_algebra,线性代数,DIM-03,机器学习与算法,理解向量、矩阵、特征值及其模型应用,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-018,optimization,微积分与优化,DIM-03,机器学习与算法,理解梯度、损失函数和常见优化方法,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-019,machine_learning,机器学习,DIM-03,机器学习与算法,训练和应用常见监督与无监督模型,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-020,feature_engineering,特征工程,DIM-03,机器学习与算法,构造、筛选和验证有效特征,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-021,model_evaluation,模型评估,DIM-03,机器学习与算法,选择指标、交叉验证并分析误差,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-022,deep_learning,深度学习,DIM-03,机器学习与算法,理解神经网络并使用主流框架训练模型,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-023,nlp,自然语言处理,DIM-03,机器学习与算法,处理文本表示、分类、生成和信息抽取任务,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-024,model_tuning,模型调优,DIM-03,机器学习与算法,调节参数、控制过拟合并复现实验,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-025,llm_fundamentals,大模型基础,DIM-04,大模型与AI应用,理解Transformer、上下文、推理和局限,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-026,prompt_engineering,提示词设计,DIM-04,大模型与AI应用,设计结构化提示并迭代评估输出,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-027,rag,RAG应用,DIM-04,大模型与AI应用,构建检索增强生成流程并评估检索与回答,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-028,vector_database,向量数据库,DIM-04,大模型与AI应用,管理向量索引、相似度检索和元数据过滤,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-029,agent_development,智能体开发,DIM-04,大模型与AI应用,设计工具调用、记忆、规划和状态管理,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-030,mcp_tool_calling,MCP与工具调用,DIM-04,大模型与AI应用,定义安全、稳定、可解释的工具接口,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-031,fine_tuning,模型微调,DIM-04,大模型与AI应用,理解数据准备、参数高效微调和评估流程,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-032,ai_safety_eval,AI安全与评测,DIM-04,大模型与AI应用,识别幻觉、偏见、隐私和越权风险,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-033,git,Git版本控制,DIM-05,工程部署与工具,使用分支、合并、审查和版本标签协作,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-034,api_design,API设计,DIM-05,工程部署与工具,设计清晰、稳定和可校验的服务接口,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-035,backend_service,后端服务开发,DIM-05,工程部署与工具,实现业务服务、鉴权、存储和错误处理,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-036,docker,Docker容器,DIM-05,工程部署与工具,编写镜像并复现运行环境,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-037,cicd,CI/CD,DIM-05,工程部署与工具,自动执行构建、测试和发布流程,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-038,cloud_deployment,云端部署,DIM-05,工程部署与工具,配置计算、网络、存储和服务发布,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-039,monitoring,监控与可观测性,DIM-05,工程部署与工具,使用日志、指标和追踪定位运行问题,0,100,180,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-040,data_pipeline,数据工程管道,DIM-05,工程部署与工具,构建稳定的数据采集、转换和调度流程,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-041,problem_decomposition,问题拆解,DIM-06,问题解决与产品思维,把复杂目标拆成可验证的子问题,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-042,systems_thinking,系统思维,DIM-06,问题解决与产品思维,识别组件关系、反馈回路和整体影响,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-043,requirements,需求分析,DIM-06,问题解决与产品思维,澄清用户目标、边界和验收条件,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-044,user_research,用户研究,DIM-06,问题解决与产品思维,通过访谈和测试识别真实需求,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-045,metric_design,指标设计,DIM-06,问题解决与产品思维,定义可测量、可解释的业务与产品指标,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-046,business_understanding,业务理解,DIM-06,问题解决与产品思维,把技术输出转化为业务判断和行动,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-047,innovation,创新与方案比较,DIM-06,问题解决与产品思维,提出多个方案并基于约束选择,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-048,written_communication,书面沟通,DIM-07,沟通协作与职业素养,用清晰结构记录背景、结论和行动,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-049,presentation,表达与汇报,DIM-07,沟通协作与职业素养,针对听众准确呈现信息和取舍,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-050,cross_role,跨岗位沟通,DIM-07,沟通协作与职业素养,在技术、产品与业务角色之间对齐理解,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-051,remote_collaboration,远程协作,DIM-07,沟通协作与职业素养,异步同步结合管理信息、责任和进度,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-052,teamwork,团队协作,DIM-07,沟通协作与职业素养,共享信息、处理分歧并共同交付,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-053,time_management,时间管理,DIM-07,沟通协作与职业素养,按优先级规划和调整个人工作,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-054,ethics_privacy,职业伦理与隐私,DIM-07,沟通协作与职业素养,遵守最小必要、授权、透明和公平原则,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-055,self_learning,自主学习,DIM-08,学习成长与项目实践,设定目标、选择资源并持续推进,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-056,knowledge_management,知识管理,DIM-08,学习成长与项目实践,整理、连接和复用学习成果,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-057,project_planning,项目规划,DIM-08,学习成长与项目实践,定义范围、里程碑、风险和资源,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-058,project_delivery,项目交付,DIM-08,学习成长与项目实践,完成可运行成果、文档和复盘,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-059,reflection_feedback,复盘与反馈,DIM-08,学习成长与项目实践,从结果和反馈中调整方法,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-060,career_exploration,职业探索,DIM-08,学习成长与项目实践,比较岗位、验证兴趣并更新目标,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
